A0109386, GREENHILL SCHOOL, Private, (972) 628-5400, PK, 12, 75001
482730005769, HIGHLAND VILLAGE EL, Public, (469) 713-5957, PK, 5, 75077
482730007583, HUFFINES MIDDLE SCHOOL, Public, (469) 713-5990, 6, 8, 75077
482730006441, MCAULIFFE EL, Public, (469) 713-5959, PK, 5, 75077
482730007266, VALLEY RIDGE EL, Public, (469) 713-5982, PK, 5, 75077
A0771751, DKH ACADEMY, Private, (972) 317-3494, PK, KG, 75077
A0771838, PRIMROSE SCHOOL OF NORTH LEWISVILLE, Private, (972) 434-4001, PK, KG, 75077
483600010515, COLLIN CO J J A E P, Public, (469) 219-2000, 11,11,75078
483600012464, CYNTHIA A COCKRELL EL, Public, (469) 219-2000, N ,N ,75078
483600010517, JUDY RUCKER EL, Public, (469) 219-2100, PK, 4, 75078
483600021184, LORENE ROGERS MIDDLE, Public, (469) 219-2150, 5, 8, 75078
483600004064, PROSPER H S, Public, (469) 219-2180, 9, 12, 75078
483600004063, R STEVE FOLSOM EL, Public, (469) 219-2110, PK, 4, 75078
483600012465, REYNOLDS MIDDLE, Public, (469) 219-2165, 7, 8, 75078
483510003954, ALDRIDGE EL, Public, (469) 752-0000, KG, 5, 75080
483702004123, ARAPAHO CLASSICAL MAGNET, Public, (469) 593-6400, KG, 6, 75080
483702004128, CANYON CREEK EL, Public, (469) 593-6500, PK, 6, 75080
483702004131, DOVER EL, Public, (469) 593-4200, PK, 6, 75080
483702004134, GREENWOOD HILLS EL, Public, (469) 593-6100, KG, 6, 75080
483702004141, MOHAWK EL, Public, (469) 593-6600, PK, 6, 75080
483702004144, NORTHRICH EL, Public, (469) 593-6200, PK, 6, 75080
483702004148, PEARCE H S, Public, (469) 593-5000, 9, 12, 75080
483702004149, PRAIRIE CREEK EL, Public, (469) 593-6300, KG, 6, 75080
483702009205, RICHARDSON ARTS/LAW/SCIENCE MAGNET, Public, (469) 593-3038, 9, 12, 75080
483702004151, RICHARDSON H S, Public, (469) 593-3000, 8, 12, 75080
483702004152, RICHARDSON HEIGHTS EL, Public, (469) 593-4400, PK, 6, 75080
483702004154, RICHARDSON NORTH J H, Public, (469) 593-5400, 7, 8, 75080
483702004156, RICHARDSON WEST J H, Public, (469) 593-3700, 7, 8, 75080
A0771721, ARMADILLOS TO ZEBRAS PRIVATE SCHOOL, Private, (972) 231-6998, PK, KG, 75080
01635539, CANYON CREEK CHRISTIAN ACADEMY, Private, (972) 231-4890, PK, 12, 75080
A9503987, DALLAS NORTH MONTESSORI SCHOOL, Private, (972) 669-3322, PK, 3, 75080
A9707962, FIRST UMC PRESCHOOL & KINDERGARTEN, Private, (972) 996-0125, PK, KG, 75080
01324126, ST PAUL THE APOSTLE SCHOOL, Private, (972) 235-3263, PK, 8, 75080
483702004122, APOLLO J H, Public, (469) 593-7900, 7, 8, 75081
483702004124, BERKNER H S, Public, (469) 593-7000, 9, 12, 75081
483702005582, CHRISTA MCAULIFFE LEARNING CENTER, Public, (469) 593-5800, 3, 12, 75081
483702004129, DARTMOUTH EL, Public, (469) 593-8400, PK, 6, 75081
480023609188, EVOLUTION ACADEMY CHARTER SCHOOL, Public, (972) 907-3755, 9, 12, 75081
483702004136, JESS HARBEN EL, Public, (469) 593-8800, PK, 6, 75081
483702004163, MARK TWAIN EL, Public, (469) 593-4800, PK, 6, 75081
483702006975, MATH/SCIENCE/TECH MAGNET, Public, (469) 593-7300, KG, 6, 75081
483702007580, P A S S LEARNING CTR, Public, (469) 593-5800, 8, 11, 75081
483702004155, RICHARDSON TERRACE EL, Public, (469) 593-8700, PK, 6, 75081
483702004157, RICHLAND EL, Public, (469) 593-4650, PK, 6, 75081
483702004161, SPRINGRIDGE EL, Public, (469) 593-8600, KG, 6, 75081
483702004167, YALE EL, Public, (469) 593-8300, KG, 6, 75081
A0503421, I A N T QUR'ANIC ACADEMY, Private, (972) 231-5698, KG, 12, 75081
AA001216, NORTH DALLAS ADVENTIST ACADEMY, Private, (972) 234-6322, PK, 12, 75081
A0702258, PEACE ACADEMY, Private, (972) 480-0008, PK, 8, 75081
A0503481, ST JOSEPH CATHOLIC SCHOOL, Private, (972) 234-4679, KG, 8, 75081
02060501, THE ALEXANDER SCHOOL, Private, (972) 690-9210, 8, 12, 75081
483510006956, MILLER EL, Public, (469) 752-2700, KG, 5, 75082
483510011177, SCHELL EL, Public, (469) 752-6600, KG, 5, 75082
483510008735, STINSON EL, Public, (469) 752-3400, KG, 5, 75082
A0903489, BRECKINRIDGE MONTESSORI SCHOOL, Private, (972) 664-1177, PK, 1, 75082
A0903568, PRIMROSE SCHOOL OF BRECKINRIDGE PARK, Private, (972) 671-5437, PK, KG, 75082
481323008182, JJAEP, Public, (972) 293-4504, 8, 12, 75083
482034007574, P A S S LEARNING CTR, Public, (972) 494-8382, 7, 12, 75083
483765011499, CELIA HAYS EL, Public, (469) 698-2800, PK, 6, 75087
483765009369, GRACE HARTMAN ELEMENTARY, Public, (972) 772-2080, KG, 6, 75087
483765011839, HERMAN E UTLEY MIDDLE, Public, (972) 771-5281, 7, 8, 75087
483765004220, HOWARD DOBBS EL, Public, (972) 771-5232, PK, 6, 75087
483765007095, J W WILLIAMS MIDDLE, Public, (972) 771-8313, 7, 9, 75087
483765007422, NEBBIE WILLIAMS EL, Public, (972) 772-0502, KG, 6, 75087
483765004221, ROCKWALL H S, Public, (972) 771-7339, 9, 12, 75087
483765007060, ROCKWALL QUEST ACADEMY, Public, (972) 772-2077, 9, 12, 75087
483765006165, VIRGINIA REINHARDT EL, Public, (972) 771-5247, PK, 6, 75087
A9703331, HERITAGE CHRISTIAN ACADEMY, Private, (972) 772-9788, PK, 12, 75087
A0990123, ROCKWALL CHRISTIAN PREPARATORY SCHOOL, Private, (214) 728-4020, KG,KG,75087
482034005993, BACK EL, Public, (972) 475-1884, PK, 5, 75088
482034002019, COYLE MIDDLE, Public, (972) 475-3711, 6, 8, 75088
483765006604, DORIS CULLINS-LAKE POINTE EL, Public, (972) 412-3070, KG, 6, 75088
482034006553, HERFURTH EL, Public, (972) 475-7994, KG, 5, 75088
482034006935, KATHERINE STEPHENS EL, Public, (972) 463-5790, PK, 5, 75088
482034021208, KEELEY EL, Public, (972) 412-2140, PK, 5, 75088
482034010589, NITA PEARSON ELEMENTARY, Public, (972) 463-7568, PK, 5, 75088
482034007257, NORMA DORSEY EL, Public, (972) 463-5595, PK, 5, 75088
482034005727, ROWLETT EL, Public, (972) 475-3380, PK, 5, 75088
482034007256, ROWLETT H S, Public, (972) 463-8690, 9, 12, 75088
482034008185, STEADHAM EL, Public, (972) 463-5887, PK, 5, 75088
A0503409, GENESIS CHRISTIAN EDUCATIONAL INSTITUTE, Private, (972) 475-2956, KG, KG, 75088
A0109449, ROCKWALL CHRISTIAN ACADEMY, Private, (972) 412-8266, PK, 12, 75088
482034011551, LIBERTY GROVE ELEMENTARY, Public, (972) 487-4416, PK, 5, 75089
482034007858, VERNON SCHRADE MIDDLE, Public, (972) 463-8790, 6, 8, 75089
480020211185, WINFREE ACADEMY NORTH RICHLAND HILLS, Public, (972) 869-3250, 9, 12, 75089
A0771842, PRIMROSE SCHOOL OF ROWLETT, Private, (972) 463-2655, PK, KG, 75089
484008004543, CRUTCHFIELD EL, Public, (903) 891-6565, PK, 4, 75090
484008021264, DILLINGHAM INT, Public, (903) 891-6495, 5, 6, 75090
484008004545, FRED DOUGLASS EARLY CHILDHOOD CENTER, Public, (903) 891-6545, PK,PK,75090
484008011226, HENRY W SORY EL, Public, (903) 891-6650, PK, 4, 75090
484008004547, JEFFERSON EL, Public, (903) 891-6610, KG, 4, 75090
484008011225, PERCY W NEBLETT EL, Public, (903) 891-6670, PK, 4, 75090
484008004549, PINER MIDDLE SCHOOL, Public, (903) 891-6470, 7, 8, 75090
484008004550, SHERMAN HIGH SCHOOL, Public, (903) 891-6440, 9, 12, 75090
484008004552, WASHINGTON EL, Public, (903) 891-6700, PK, 4, 75090
02060884, GRAYSON CHRISTIAN SCHOOL, Private, (903) 892-3304, PK, 12, 75090
A0771807, MONTESSORI ACADEMY OF NORTH TEXAS, Private, (903) 893-3500, PK, 6, 75090
01324137, ST MARYS CATHOLIC SCHOOL, Private, (903) 893-2127, PK, 8, 75090
484008004546, FAIRVIEW EL, Public, (903) 891-6580, PK, 4, 75092
484008004551, WAKEFIELD EL, Public, (903) 891-6595, KG, 4, 75092
A9503928, BELDEN STREET MONTESSORI SCHOOL, Private, (903) 868-1019, PK, KG, 75092
A9300985, TEXOMA CHRISTIAN SCHOOL, Private, (903) 893-7076, PK, 12, 75092
483510007222, BARKSDALE EL, Public, (469) 752-0100, KG, 5, 75093
483510009172, BEATY EARLY CHILDHOOD SCHOOL, Public, (469) 752-4200, PK,PK,75093
483510006600, BRINKER EL, Public, (469) 752-0500, KG, 5, 75093
483510008152, CENTENNIAL EL, Public, (469) 752-0700, KG, 5, 75093
483510021016, DAFFRON EL, Public, (469) 752-0900, PK, 5, 75093
483510007836, HIGHTOWER EL, Public, (469) 752-1800, KG, 5, 75093
483510006029, HUFFMAN EL, Public, (469) 752-1900, KG, 5, 75093
483510008150, PLANO WEST SENIOR H S, Public, (469) 752-9600, 11, 12, 75093
483510006897, RENNER MIDDLE, Public, (469) 752-5800, 6, 8, 75093
483510006028, SHEPTON H S, Public, (469) 752-7600, 9, 10, 75093
A0903482, AMERICAN MONTESSORI CAMPUS, Private, (972) 473-2600, PK, KG, 75093
A0771820, PARKWOOD MONTESSORI ACADEMY, Private, (972) 781-2900, PK, KG, 75093
A9904275, PRESTONWOOD CHRISTIAN ACADEMY, Private, (972) 820-5063, PK, 12, 75093
A9304165, PRINCE OF PEACE CATHOLIC SCHOOL, Private, (972) 380-5505, PK, 8, 75093
A0771849, RICHMOND HILL MONTESSORI, Private, (972) 250-1406, PK, 12, 75093
A0771886, WINDHAVEN ACADEMY, Private, (972) 608-2955, PK, KG, 75093
483510009170, BOGGESS EL, Public, (469) 752-4000, KG, 5, 75094
483510010509, MARTHA HUNT EL, Public, (469) 752-4400, KG, 5, 75094
483510009639, MURPHY MIDDLE, Public, (469) 752-7000, 6, 8, 75094
A0702220, HERITAGE MONTESSORI ACADEMY LLC, Private, (922) 424-3137, PK, KG, 75094
A0771812, OAK BROOK SCHOOL, Private, (972) 423-0003, PK, KG, 75094
484653012331, 3RD H S, Public, (972) 429-3000, N ,N ,75098
484653007224, AB HARRISON INT, Public, (972) 429-3300, 5, 6, 75098
484653011178, ACHIEVE ACADEMY, Public, (972) 429-2395, 2, 12, 75098
484653010519, CHERI COX EL, Public, (972) 429-2500, KG, 4, 75098
484653007837, COLLIN CO J J A E P, Public, (972) 429-3000, 8,8,75098
484653010518, DAVIS INTERMEDIATE SCHOOL, Public, (972) 429-3325, 5, 6, 75098
484653008154, DODD EL, Public, (972) 429-3440, KG, 4, 75098
484653011373, DON WHITT EL, Public, (972) 429-2560, KG, 4, 75098
484653011180, DR AL DRAPER INTERMED, Public, (972) 429-3350, 5, 6, 75098
484653009651, FRANK MCMILLAN JUNIOR HIGH SCHOOL, Public, (972) 429-3225, 7, 8, 75098
484653005296, GRADY BURNETT JUNIOR HIGH SCHOOL, Public, (972) 429-3200, 7, 8, 75098
484653006634, P M AKIN EL, Public, (972) 429-3400, KG, 4, 75098
484653005294, R F HARTMAN EL, Public, (972) 429-3480, PK, 4, 75098
484653009176, R V GROVES EL, Public, (972) 429-3460, KG, 4, 75098
484653011179, RAYMOND B COOPER J H, Public, (972) 429-3250, 7, 8, 75098
484653010521, RITA SMITH EL, Public, (972) 429-2540, KG, 4, 75098
484653006195, T F BIRMINGHAM EL, Public, (972) 429-3420, KG, 4, 75098
484653010520, TIBBALS EL, Public, (972) 429-2520, KG, 4, 75098
484653012333, WALLY WATKINS EL, Public, (972) 429-2580, KG, 4, 75098
484653011511, WYLIE EAST H S, Public, (972) 429-3150, 9, 11, 75098
484653005295, WYLIE H S, Public, (972) 429-3100, 9, 12, 75098
A9703318, FIRST BAPTIST SCHOOL OF WYLIE, Private, (972) 442-0416, PK, KG, 75098
A0303161, WYLIE PREPARATORY ACADEMY, Private, (972) 442-1388, 1, 12, 75098
481275000768, CANTON EL, Public, (903) 567-6521, PK, 2, 75103
481275000769, CANTON H S, Public, (903) 567-6561, 9, 12, 75103
481275006832, CANTON INT, Public, (903) 567-6418, 3, 5, 75103
481275000770, CANTON J H, Public, (903) 567-4329, 6, 8, 75103
480017108398, RANCH ACADEMY, Public, (903) 479-3601, 8, 12, 75103
480017112128, RANCH ACADEMY - TYLER CAMPUS, Public, (903) 479-3601, 4, 12, 75103
481323006664, BELT LINE INT, Public, (972) 291-2583, 5, 6, 75104
481323010559, BESSIE COLEMAN MIDDLE, Public, (972) 293-4505, 7, 8, 75104
481323000822, BRAY EL, Public, (972) 291-4231, PK, 4, 75104
481323012181, CEDAR HILL COLLEGIATE H S, Public, (469) 272-2021, 9, 11, 75104
481323000823, CEDAR HILL H S, Public, (469) 272-2000, 10, 12, 75104
481323006232, HIGH POINTE EL, Public, (972) 291-7874, KG, 4, 75104
481323006374, HIGHLANDS ELEMENTARY, Public, (972) 291-0496, PK, 4, 75104
481323009194, JOE WILSON INTERMEDIATE, Public, (972) 291-4502, 5, 6, 75104
481323009193, LAKERIDGE EL, Public, (972) 293-4501, PK, 4, 75104
480005512477, LIFE SCHOOL CEDAR HILL, Public, (972) 293-2825, KG, 3, 75104
481323010558, NINTH GRADE CENTER, Public, (469) 272-2050, 8, 10, 75104
481323000826, PLUMMER EL, Public, (972) 291-4058, PK, 4, 75104
481323000825, W S PERMENTER MIDDLE, Public, (972) 291-5270, 7, 8, 75104
481323021203, WATERFORD OAKS EL, Public, (972) 291-5290, PK, 4, 75104
481323000824, WEST INT, Public, (972) 291-6060, 5, 6, 75104
A0503385, CROSSROADS ACADEMY, Private, (972) 293-9093, 1, 12, 75104
X9106532, TRINITY CHRISTIAN SCHOOL, Private, (972) 291-2505, PK, 12, 75104
483072003468, MILDRED EL, Public, (903) 872-0381, PK, 5, 75109
483072003469, MILDRED H S, Public, (903) 872-0392, 6, 12, 75109
483072009359, NAVARRO DAEP COOP, Public, (903) 872-6357, KG, 12, 75109
481533001100, BOWIE EL, Public, (903) 872-6541, PK, 5, 75110
481533001108, CARROLL EL, Public, (903) 872-3074, PK, 5, 75110
481533001101, COLLINS MIDDLE, Public, (903) 872-3979, 7, 8, 75110
481533001102, CORSICANA H IGH SCHOOL, Public, (903) 874-8211, 9, 12, 75110
481533001104, DRANE INT, Public, (903) 874-8281, 6,6,75110
481533001105, FANNIN EL, Public, (903) 874-3728, KG, 5, 75110
481533008341, JOSE ANTONIO NAVARRO EL, Public, (903) 874-1011, KG, 5, 75110
481533011315, SAM HOUSTON EL, Public, (903) 874-6971, PK, 4, 75110
01324534, JAMES L COLLINS CATHOLIC SCHOOL, Private, (903) 872-1751, PK, 8, 75110
481551012027, BARBARA WALKER EL, Public, (972) 427-6000, KG, 6, 75114
481551007370, CRANDALL ALTER CTR, Public, (972) 427-6000, 10, 12, 75114
481551001123, CRANDALL H S, Public, (972) 427-6000, 9, 12, 75114
481551001124, CRANDALL MIDDLE, Public, (972) 427-6000, 7, 8, 75114
481551007052, NOLA KATHRYN WILSON EL, Public, (972) 427-6040, KG, 6, 75114
481551001122, W A MARTIN EL, Public, (972) 427-6000, PK, 6, 75114
481686001460, AMBER TERRACE EL, Public, (972) 223-8757, PK, 5, 75115
481686006397, COCKRELL HILL EL, Public, (972) 230-1692, PK, 5, 75115
481686007573, D H S FRESHMAN CAMPUS, Public, (972) 274-1818, 8, 9, 75115
481686001461, DESOTO EAST MIDDLE SCHOOL, Public, (972) 223-0690, 6, 8, 75115
481686001459, DESOTO H S, Public, (972) 230-0726, 9, 12, 75115
481686006396, DESOTO WEST MIDDLE SCHOOL, Public, (972) 230-1820, 6, 8, 75115
480009408165, FAITH FAMILY ACADEMY OF OAK CLIFF, Public, (214) 375-7682, 9, 12, 75115
480009412151, FAITH FAMILY ACADEMY OF OAK CLIFF, Public, (214) 375-7682, 6, 8, 75115
480009412162, FAITH FAMILY ACADEMY OF OAK CLIFF, Public, (214) 375-7682, PK, 5, 75115
481686001462, NORTHSIDE EL, Public, (972) 224-6709, PK, 5, 75115
481686007857, P A S S LEARNING CENTER, Public, (972) 223-6666, 7, 10, 75115
481686001463, RUBY YOUNG EL, Public, (972) 223-6505, PK, 5, 75115
481686006243, THE MEADOWS ELEMENTARY, Public, (972) 224-0960, PK, 5, 75115
480010508205, WAXAHACHIE FAITH FAMILY ACADEMY, Public, (972) 936-3998, 9, 12, 75115
480010512070, WAXAHACHIE FAMILY FAITH ACADEMY, Public, (972) 936-3998, 6, 8, 75115
480010512095, WAXAHACHIE FAMILY FAITH ACADEMY, Public, (972) 936-3998, PK, 5, 75115
481686009467, WOODRIDGE EL, Public, (972) 223-3800, PK, 5, 75115
A0771741, CLARA MUHAMMAD ACADEMY, Private, (972) 274-1101, PK, 6, 75115
A9707937, DESOTO PRIVATE SCHOOL, Private, (972) 223-6450, PK, 6, 75115
A0771819, PARK RIDGE ACADEMY, Private, (972) 223-7913, PK, KG, 75115
A9300857, THE CANTERBURY EPISCOPAL SCHOOL, Private, (972) 572-7200, KG, 12, 75115
A0903631, TURNING POINT CHRISTIAN ACADEMY, Private, (972) 230-1838, PK, 11, 75115
480004108501, ADVANTAGE ACADEMY, Public, (214) 276-5800, PK, 12, 75116
481764001523, CENTRAL EL, Public, (972) 708-2600, PK, 4, 75116
481764001524, DUNCANVILLE H S, Public, (972) 708-3700, 9, 12, 75116
481764001525, FAIRMEADOWS EL, Public, (972) 708-2700, PK, 4, 75116
481764006537, GLENN C HARDIN INTERMEDIATE, Public, (972) 708-3300, 5, 6, 75116
481764001528, J HERMAN REED MIDDLE, Public, (972) 708-3500, 7, 8, 75116
481764003679, MARY E SMITHEY PACE LEARNING CENTER, Public, (972) 708-2470, 10, 12, 75116
481764001526, WILLIAM LEE HASTINGS EL, Public, (972) 708-2800, PK, 4, 75116
02060374, CHRISTWAY ACADEMY & PRESCHOOL, Private, (972) 296-3861, PK, KG, 75116
481812011072, EDGEWOOD DAEP, Public, (903) 896-4332, N ,N ,75117
481812001633, EDGEWOOD EL, Public, (903) 896-4773, PK, 2, 75117
481812001634, EDGEWOOD H S, Public, (903) 896-4856, 9, 12, 75117
481812008947, EDGEWOOD INT, Public, (903) 896-2134, 3, 5, 75117
481812006247, EDGEWOOD MIDDLE, Public, (903) 896-1530, 6, 8, 75117
481275011071, VAN ZANDT CO-OP, Public, (903) 896-1761, 9, 12, 75117
481812011073, VAN ZANDT SSA, Public, (903) 896-1761, PK, 12, 75117
481854001736, AUSTIN EL, Public, (972) 872-7190, 1, 3, 75119
481854006405, BOWIE EL, Public, (972) 872-7234, 1, 3, 75119
481854009219, DAVID S CROCKETT EARLY CHILDHOOD CENTER, Public, (972) 872-7131, PK, KG, 75119
481854009218, DORIE MILLER INT, Public, (972) 872-3775, 4, 6, 75119
481854001737, ENNIS H S, Public, (972) 872-3500, 9, 12, 75119
481854001739, ENNIS J H, Public, (972) 872-3850, 7, 8, 75119
481854012158, G W CARVER EARLY CHILDHOOD CENTER, Public, (972) 872-3730, PK, KG, 75119
481854001738, HOUSTON EL, Public, (972) 872-7285, 1, 3, 75119
481854007588, JACK LUMMUS INT, Public, (972) 872-7060, 4, 6, 75119
481854001740, TRAVIS EL, Public, (972) 872-7455, 1, 3, 75119
A0303050, COMMUNITY CHRISTIAN ACADEMY INC, Private, (972) 274-0015, KG, 12, 75123
A0903634, VICTORY CHRISTIAN ACADEMY, Private, (972) 274-6055, PK, 12, 75123
481872001751, EUSTACE H S, Public, (903) 425-5161, 9, 12, 75124
481872007344, EUSTACE INT, Public, (903) 425-5181, 3, 5, 75124
481872006406, EUSTACE MIDDLE, Public, (903) 425-5171, 6, 8, 75124
481872001750, EUSTACE PRI, Public, (903) 425-5191, PK, 2, 75124
481917001786, FERRIS H S, Public, (972) 544-3737, 9, 12, 75125
481917006696, FERRIS INTERMEDIATE, Public, (972) 544-8662, 4, 6, 75125
481917001787, FERRIS J H, Public, (972) 544-3737, 7, 8, 75125
481917001785, HAZEL INGRAM ELEMENTARY, Public, (972) 544-3212, PK, KG, 75125
481917009220, LUCY MAE MCDONALD ELEMENTARY, Public, (972) 544-2574, 1, 3, 75125
A0503398, FERRIS CHRISTIAN ACADEMY, Private, (972) 544-8388, PK, 3, 75125
481956008683, A E P, Public, (972) 564-4055, 6, 12, 75126
481956010869, BLACKBURN ELEMENTARY SCHOOL, Public, (972) 564-7008, PK, 6, 75126
481956010868, BROWN MIDDLE, Public, (972) 564-3967, 7, 8, 75126
481956010870, CROSBY ELEMENTARY, Public, (972) 564-7002, PK, 6, 75126
481956001810, FORNEY H S, Public, (972) 564-3890, 9, 12, 75126
481956009557, HENDERSON EL, Public, (972) 564-7100, PK, 6, 75126
481956001809, JOHNSON ELEMENTARY, Public, (972) 564-3397, KG, 6, 75126
481956006253, KATHRYN WOLFE CRISWELL ELEMENTARY, Public, (972) 564-1609, PK, 6, 75126
481956008684, L E CLAYBON EL, Public, (972) 564-7023, KG, 6, 75126
481956011290, LEWIS EL, Public, (972) 564-7102, PK, 6, 75126
481956011554, MARGARET TAYLOR SMITH ELEMENTARY, Public, (469) 762-4158, PK, 6, 75126
481956011501, NELL HILL RHEA ELEMENTARY, Public, (469) 762-4157, PK, 6, 75126
481956010867, NORTH FORNEY H S, Public, (469) 762-4159, 9, 11, 75126
481956001811, WARREN MIDDLE, Public, (469) 762-4156, 7, 8, 75126
482007005476, FRUITVALE H S, Public, (903) 896-4363, 9, 12, 75127
482007008071, FRUITVALE MIDDLE, Public, (903) 896-4363, 6, 8, 75127
482007001960, HALLIE RANDALL EL, Public, (903) 896-4466, PK, 5, 75127
482667003002, HOUSTON EL, Public, (972) 218-1512, PK, 5, 75134
482667003003, LANCASTER H S, Public, (972) 218-1800, 9, 12, 75134
482667003005, PLEASANT RUN EL, Public, (972) 218-1538, PK, 5, 75134
A9703283, BERNE PRIVATE SCHOOL, Private, (972) 218-7373, KG, 12, 75134
481326010852, CADDO DAEP, Public, (903) 527-2075, N ,N ,75135
481239000732, CADDO MILLS H S, Public, (903) 527-3164, 9, 12, 75135
481239005665, CADDO MILLS MIDDLE, Public, (903) 527-3161, 6, 8, 75135
481239000731, FRANCES AND JEANNETTE LEE ELEMENTARY, Public, (903) 527-3162, PK, 5, 75135
481239012232, KATHRYN GRIFFIS EL, Public, (903) 527-3525, PK, 5, 75135
481764001529, CLINT Q SMITH EL, Public, (972) 708-3000, KG, 4, 75137
481764000478, GRACE R BRANDENBURG INT, Public, (972) 708-3100, 5, 6, 75137
481764006536, H BOB DANIEL SR INT, Public, (972) 708-3200, 5, 6, 75137
481764001527, MERRIFIELD ELEMENTARY, Public, (972) 708-2900, PK, 4, 75137
481764001522, S GUS ALEXANDER JR ELEMENTARY, Public, (972) 708-2500, KG, 4, 75137
481764008519, SUMMIT LEARNING CENTER, Public, (972) 708-2570, 1, 12, 75137
481764001530, WILLIAM H BYRD MIDDLE SCHOOL, Public, (972) 708-3400, 7, 8, 75137
A9707997, MERRYWOOD SCHOOL, Private, (972) 298-0130, 1, 6, 75137
A9300878, MASTER'S ACADEMY, Private, (972) 780-2616, 4, 12, 75138
482145002165, GRAND SALINE EL, Public, (903) 962-7526, PK, 2, 75140
482145002166, GRAND SALINE H S, Public, (903) 962-7533, 9, 12, 75140
482145007472, GRAND SALINE INT, Public, (903) 962-5515, 3, 5, 75140
482145005483, GRAND SALINE MIDDLE, Public, (903) 962-7537, 6, 8, 75140
482145008069, VAN ZANDT CO YOUTH MULTI-SERVICE CTR, Public, (903) 962-6292, 8, 11, 75140
482145008399, VAN ZANDT/RAINS ALTERNATIVE EDUCATION PROG COOP, Public, (903) 962-6694, 6, 12, 75140
482520009321, ALTERNATIVE LEARNING CENTER, Public, (972) 932-8789, 9, 12, 75142
482520009572, HELEN EDWARD EARLY CHILDHOOD CENTER, Public, (972) 932-0800, PK, KG, 75142
482520002816, KAUFMAN H S, Public, (972) 932-2811, 9, 12, 75142
480010208751, LEGACY H S, Public, (972) 962-0306, 7, 12, 75142
482520002818, LUCILLE NASH INTERMEDIATE, Public, (972) 932-6415, 5, 6, 75142
482520005754, MONDAY PRIMARY, Public, (972) 932-3513, 1, 2, 75142
482520002817, NORMAN J H, Public, (972) 932-2410, 7, 8, 75142
482520002815, PHILLIPS ELEMENTARY, Public, (972) 932-4500, 3, 4, 75142
A9300904, KAUFMAN CHRISTIAN SCHOOL, Private, (972) 932-6111, PK, 6, 75142
482532010871, KEMP ALTERNATIVE, Public, (903) 498-1392, 6, 12, 75143
482532002826, KEMP H S, Public, (903) 498-9222, 9, 12, 75143
482532006572, KEMP INT, Public, (903) 498-1362, 4, 6, 75143
482532002827, KEMP J H, Public, (903) 498-1343, 7, 8, 75143
482532002825, KEMP PRI, Public, (903) 498-1404, PK, 3, 75143
482878011405, TOOL EL, Public, (903) 432-2637, PK, 5, 75143
482553002842, KERENS SCHOOL, Public, (903) 396-2931, PK, 12, 75144
482667009204, ALTERNATIVE SCHOOL, Public, (972) 218-1441, 1, 12, 75146
482667011199, BELT LINE EL, Public, (972) 218-1608, PK, 5, 75146
482667008191, L ISD J J A E P, Public, (972) 218-1432, 9,9,75146
482667011200, LANCASTER EL, Public, (972) 218-1590, PK, 5, 75146
482667003004, LANCASTER MIDDLE, Public, (972) 218-1660, 6, 8, 75146
480005511533, LIFE SCHOOL LANCASTER, Public, (972) 274-7950, KG, 6, 75146
480005507849, LIFE SCHOOL OAK CLIFF, Public, (214) 376-8200, KG, 12, 75146
480005509533, LIFE SCHOOL RED OAK, Public, (469) 552-9200, KG, 12, 75146
482667006743, ROLLING HILLS EL, Public, (972) 218-1525, PK, 5, 75146
482667006288, ROSA PARKS/MILLBROOK EL, Public, (972) 218-1564, PK, 5, 75146
482667003006, WEST MAIN EL, Public, (972) 218-1551, PK, 5, 75146
482868007372, CENTRAL EL, Public, (903) 880-1380, PK, 4, 75147
482868007374, LAKEVIEW EL, Public, (903) 880-1360, KG, 4, 75147
482868010872, MABANK ACADEMY, Public, (903) 880-1600, 8, 12, 75147
482868009322, MABANK DAEP, Public, (903) 880-1600, KG, 12, 75147
482922011074, MABANK DAEP, Public, (903) 880-1300, N ,N ,75147
482868003248, MABANK H S, Public, (903) 880-1600, 9, 12, 75147
482868011779, MABANK INT, Public, (903) 880-1640, 5, 6, 75147
482868003249, MABANK J H, Public, (903) 880-1670, 7, 8, 75147
482868007373, SOUTHSIDE EL, Public, (903) 880-1340, KG, 4, 75147
481584001151, CROSS ROADS EL, Public, (903) 489-1774, PK, 5, 75148
481584005434, CROSS ROADS H S, Public, (903) 489-1275, 9, 12, 75148
481584006387, CROSS ROADS J H, Public, (903) 489-2667, 6, 8, 75148
482878011281, GATEWAY, Public, (903) 489-4132, 11, 12, 75148
482878007959, MALAKOFF ALTERNATIVE PROGRAM (MAP), Public, (903) 489-4132, 8, 12, 75148
482878003257, MALAKOFF EL, Public, (903) 489-1964, PK, 5, 75148
482878003258, MALAKOFF H S, Public, (903) 489-1527, 9, 12, 75148
482878021339, MALAKOFF MIDDLE, Public, (903) 489-0264, 6, 8, 75148
483039003401, AGNEW MIDDLE, Public, (972) 882-5750, 7, 8, 75149
483039003402, BLACK EL, Public, (972) 882-7240, PK, 6, 75149
483039003404, FLOYD EL, Public, (972) 882-7100, PK, 5, 75149
483039003405, GALLOWAY EL, Public, (972) 882-5101, PK, 6, 75149
483039003407, HANBY EL, Public, (972) 882-5040, PK, 5, 75149
483039003410, MCWHORTER EL, Public, (972) 882-7020, PK, 6, 75149
483039003411, MESQUITE H S, Public, (972) 882-7800, 9, 12, 75149
