480789000117, ALLEN H S, Public, (972) 727-0400, 9, 12, 75002
481623001267, H S THOMPSON LEARNING CENTER, Public, (972) 502-8900, PK, 6, 75215
481623001311, JAMES MADISON HIGH SCHOOL, Public, (972) 925-2800, 9, 12, 75215
481623001304, LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH, Public, (972) 925-7600, 9, 12, 75215
481623001238, MARTIN LUTHER KING JR LEARNING CENTER, Public, (972) 502-8100, PK, 5, 75215
481623021205, PEARL C ANDERSON MIDDLE LEARNING CENTER, Public, (972) 925-7900, 6, 8, 75215
481623001330, PHILLIS WHEATLEY ELEMENTARY SCHOOL, Public, (972) 749-1300, PK, 3, 75215
480024809521, ST ANTHONY ACADEMY, Public, (214) 421-3645, KG, 5, 75215
480024811778, ST ANTHONY SCHOOL, Public, (214) 421-3645, 6, 8, 75215
A0992060, CORNERSTONE CROSSROADS ACADEMY, Private, (214) 426-3282, 11, 12, 75215
02060341, ST PHILIPS SCHOOL & COMMUNITY CENTER, Private, (214) 421-5221, PK, 6, 75215
481623012569, BARACK OBAMA MALE LEADERSHIP ACAD AT BF DARRELL H, Public, (972) 925-3700, N ,N ,75216
481623012567, BARACK OBAMA MALE LEADERSHIP ACAD AT BF DARRELL MI, Public, (972) 925-3700, N ,N ,75216
481623001366, BOUDE STOREY MIDDLE SCHOOL, Public, (972) 925-8700, 6, 8, 75216
481623001235, CLARA OLIVER ELEMENTARY SCHOOL, Public, (972) 749-3400, PK, 5, 75216
481623001327, ELISHA M PEASE ELEMENTARY SCHOOL, Public, (214) 932-3800, PK, 3, 75216
481623001306, H I HOLLAND EL AT LISBON, Public, (972) 749-1900, PK, 5, 75216
481623001221, HARRELL BUDD ELEMENTARY SCHOOL, Public, (972) 502-8400, PK, 5, 75216
481623007853, HARRY STONE MONTESSORI ACADEMY, Public, (972) 794-3400, 7, 8, 75216
481623000465, HARRY STONE MONTESSORI ACADEMY, Public, (972) 794-3400, PK, 6, 75216
481623006242, J P STARKS ELEMENTARY SCHOOL, Public, (972) 502-8800, PK, 5, 75216
481623001218, JOHN NEELY BRYAN ELEMENTARY SCHOOL, Public, (972) 502-8500, PK, 5, 75216
480026010552, KIPP TRUTH ACADEMY, Public, (214) 375-8326, 5, 8, 75216
481623001279, OLIVER WENDELL HOLMES HUMANITIES/COMMUNICATIONS, Public, (214) 925-8500, 6, 8, 75216
481623001341, ROGER Q MILLS EL, Public, (972) 925-7500, PK, 5, 75216
481623005864, SARAH ZUMWALT MIDDLE, Public, (972) 749-3600, 6, 8, 75216
481623001358, SOUTH OAK CLIFF H S, Public, (214) 932-7000, 9, 12, 75216
481623001224, W W BUSHMAN ELEMENTARY SCHOOL, Public, (972) 749-1800, PK, 5, 75216
481623001390, WHITNEY M YOUNG JR EL, Public, (972) 749-2000, PK, 5, 75216
481623001319, WILLIAM B MILLER ELEMENTARY SCHOOL, Public, (972) 502-8700, PK, 5, 75216
X1914964, LOBIAS MURRAY CHRISTIAN ACADEMY, Private, (214) 372-6466, KG, 12, 75216
481623001310, B H MACON ELEMENTARY SCHOOL, Public, (972) 794-1500, PK, 6, 75217
480001610548, DALLAS CAN ACADEMY AT PLEASANT GROVE, Public, (972) 225-1194, 9, 12, 75217
481623001239, E B COMSTOCK MIDDLE, Public, (972) 794-1300, 7, 8, 75217
481623001257, FRED F FLORENCE MIDDLE, Public, (972) 749-6000, 6, 8, 75217
481623007253, GILBERT CUELLAR SR ELEMENTARY SCHOOL, Public, (972) 749-6400, PK, 6, 75217
481623001360, H GRADY SPRUCE H S, Public, (972) 892-5500, 9, 12, 75217
480020408506, INSPIRED VISION, Public, (972) 285-5758, 6, 8, 75217
481623001285, JOHN IRELAND ELEMENTARY SCHOOL, Public, (972) 749-4900, PK, 5, 75217
481623001287, JOHN Q ADAMS ELEMENTARY SCHOOL, Public, (972) 794-1200, PK, 5, 75217
481623001346, JOHN W RUNYON EL, Public, (972) 749-6100, PK, 5, 75217
481623001250, JULIUS DORSEY ELEMENTARY SCHOOL, Public, (972) 749-6300, PK, 6, 75217
481623001320, NANCY MOSELEY EL, Public, (972) 749-6700, PK, 6, 75217
481623001272, NATHANIEL HAWTHORNE EL, Public, (972) 749-4700, PK, 5, 75217
480020108755, NOVA ACADEMY (SOUTHEAST), Public, (214) 398-6300, KG, 6, 75217
481623007251, PLEASANT GROVE ELEMENTARY SCHOOL, Public, (972) 892-5000, PK, 5, 75217
481623001299, RICHARD LAGOW ELEMENTARY SCHOOL, Public, (972) 749-6600, PK, 6, 75217
481623001222, RUFUS C BURLESON ELEMENTARY SCHOOL, Public, (972) 749-4500, PK, 6, 75217
481623001213, W A BLAIR EL, Public, (214) 309-9566, PK, 6, 75217
481623001379, W W SAMUELL H S, Public, (972) 892-5100, 9, 12, 75217
481623001384, WILLIAM M ANDERSON ELEMENTARY SCHOOL, Public, (972) 749-6200, PK, 6, 75217
02060476, NEWMAN PARK CHRISTIAN ACADEMY, Private, (214) 398-1591, 3, 12, 75217
01324421, ST AUGUSTINE CATHOLIC SCHOOL, Private, (214) 391-1381, KG, 8, 75217
481623001350, ALEX SANGER EL, Public, (972) 749-7600, PK, 5, 75218
481623001336, MARTHA TURNER REILLY EL, Public, (972) 749-7800, PK, 5, 75218
481623001337, REINHARDT ELEMENTARY SCHOOL, Public, (972) 749-7900, PK, 5, 75218
481623001276, ROBERT T HILL MIDDLE SCHOOL, Public, (972) 502-5700, 6, 8, 75218
480008212388, SHEKINAH RADIANCE ACADEMY (GARLAND), Public, (214) 320-2500, KG, 6, 75218
481623001275, VICTOR H HEXTER ELEMENTARY SCHOOL, Public, (972) 502-5800, PK, 5, 75218
01634976, DALLAS ACADEMY, Private, (214) 324-1481, 1, 12, 75218
01324396, ST BERNARD OF CLAIRVAUX SCHOOL, Private, (214) 321-2897, PK, 8, 75218
01326101, ST JOHNS EPISCOPAL SCHOOL, Private, (214) 328-9131, PK, 8, 75218
481623008184, ESPERANZA  MEDRANO EL, Public, (972) 794-3300, PK, 5, 75219
481623001283, SAM HOUSTON EL, Public, (972) 749-5800, PK, 5, 75219
01324498, HOLY TRINITY CATHOLIC SCHOOL, Private, (214) 526-5113, PK, 8, 75219
481623001223, DAVID G BURNET EL, Public, (972) 794-3000, PK, 5, 75220
481623010564, FRANCISCO MEDRANO MIDDLE, Public, (972) 925-1300, 6, 8, 75220
481623007249, JULIAN T SALDIVAR ELEMENTARY SCHOOL, Public, (972) 794-2000, PK, 5, 75220
481623010573, LEONIDES GONZALEZ CIGARROA MD EL, Public, (972) 502-2900, PK, 5, 75220
480009312005, LETOT CAMPUS, Public, (214) 956-2036, 6, 12, 75220
481623001258, STEPHEN C FOSTER EL, Public, (972) 794-8100, PK, 5, 75220
A9707995, MEADOWBROOK SCHOOL, Private, (214) 369-4981, PK, KG, 75220
A9504124, OAK HILL ACADEMY, Private, (214) 353-8804, PK, 10, 75220
A0792075, WESLEY PREP, Private, (214) 706-9571, PK, 6, 75220
A0109365, FIRST BAPTIST ACADEMY SYSTEM, Private, (214) 969-7861, KG, 12, 75221
A9703374, MOUNT ST MICHAEL CATHOLIC SCHOOL, Private, (214) 337-0244, PK, 8, 75222
480008908160, LINDSLEY PARK COMMUNITY SCHOOL, Public, (214) 321-9155, PK, 3, 75223
481623001321, MOUNT AUBURN EL, Public, (972) 749-8500, PK, 3, 75223
481623001340, ORAN M ROBERTS ELEMENTARY SCHOOL, Public, (972) 749-8700, PK, 5, 75223
A9304161, EAST DALLAS COMMUNITY SCHOOL, Private, (214) 824-8950, PK, 3, 75223
481623001246, BARBARA JORDAN EL, Public, (972) 925-8100, PK, 5, 75224
481623001236, CLINTON P RUSSELL ELEMENTARY SCHOOL, Public, (972) 925-8300, 4, 5, 75224
482442008187, DALLAS CO SCHOOL FOR ACCELERATED LRNG, Public, (214) 652-7113, 7, 12, 75224
481623009196, ELEMENTARY' DISCIPLINARY ALTERNATIVE EDUCATION PRG, Public, (972) 502-8970, KG, 6, 75224
481623001354, ERASMO SEGUIN COMMUNITY LEARNING CENTER, Public, (972) 925-8400, PK, 3, 75224
481623012549, JOHN LESLIE PATTON JR ACADEMIC CENTER, Public, (214) 932-5160, 9, 12, 75224
481623001227, JOHN W CARPENTER ELEMENTARY SCHOOL, Public, (972) 794-6000, PK, 6, 75224
481623012028, KATHLYN JOY GILLIAM COLLEGIATE ACADEMY, Public, (214) 932-7300, 9, 11, 75224
481623007244, LEARNING ALTERNATIVE CENTER FOR EMPOWERING YOUTH, Public, (972) 925-7060, 6, 8, 75224
481623001274, MARGARET B HENDERSON EL, Public, (972) 749-2900, PK, 6, 75224
481623006930, SCHOOL COMMUNITY GUIDANCE CENTER, Public, (972) 925-7000, 9, 12, 75224
01324523, BISHOP DUNNE CATHOLIC SCHOOL, Private, (214) 339-6561, 6, 12, 75224
02060534, KIEST PARK CHRISTIAN ACADEMY, Private, (214) 331-1536, PK, 1, 75224
01324374, ST ELIZABETH OF HUNGARY CATHOLIC SCHOOL, Private, (214) 331-5139, PK, 8, 75224
482325002358, HYER ELEMENTARY, Public, (214) 780-3300, PK, 4, 75225
482325002360, UNIVERSITY PARK ELEMENTARY, Public, (214) 780-3400, PK, 4, 75225
01324501, CHRIST THE KING CATHOLIC SCHOOL, Private, (214) 365-1234, KG, 8, 75225
01326542, OUR REDEEMER LUTHERAN SCHOOL, Private, (214) 368-1371, PK, 6, 75225
A9300883, ST CHRISTOPHER MONTESSORI, Private, (214) 363-9391, PK, KG, 75225
480020308758, A+ ACADEMY, Public, (972) 557-5578, PK, 12, 75227
481623001214, ANNIE WEBB BLANTON EL SCHOOL, Public, (972) 794-1700, PK, 5, 75227
481623001356, ASCHER SILBERSTEIN EL, Public, (972) 794-1900, PK, 5, 75227
481623010567, C A TATUM JR EL, Public, (972) 502-2000, KG, 5, 75227
481623001345, EDNA ROWE ELEMENTARY SCHOOL, Public, (972) 749-8800, PK, 5, 75227
481623001372, EDWARD TITCHE EL, Public, (972) 794-2100, PK, 5, 75227
481623006682, FREDERICK DOUGLASS EL, Public, (972) 794-1400, PK, 6, 75227
480020408759, INSPIRED VISION ACADEMY, Public, (214) 391-7964, PK, 5, 75227
481623001280, JOHN B HOOD MIDDLE SCHOOL, Public, (972) 749-4100, 6, 8, 75227
480007210549, NOVA ACADEMY, Public, (214) 381-3422, KG, 6, 75227
481623001349, SAN JACINTO ELEMENTARY SCHOOL, Public, (972) 749-4200, PK, 5, 75227
481623001357, SKYLINE HIGH SCHOOL, Public, (972) 502-3400, 9, 12, 75227
481623001378, URBAN PARK EL SCHOOL, Public, (972) 794-1100, PK, 5, 75227
01324308, ST PHILIP THE APOSTLE CATHOLIC SCHOOL, Private, (214) 381-4973, PK, 8, 75227
481623001212, BAYLES ELEMENTARY SCHOOL, Public, (972) 749-8900, PK, 5, 75228
481623001205, BRYAN ADAMS H S, Public, (972) 502-4900, 9, 12, 75228
481623001232, CASA VIEW ELEMENTARY SCHOOL, Public, (972) 749-7700, PK, 5, 75228
481623001264, CHARLES A GILL EL, Public, (972) 749-8400, PK, 5, 75228
481623001294, EDWIN J KIEST EL, Public, (972) 502-5600, PK, 5, 75228
481623001263, GEORGE W TRUETT EL, Public, (972) 749-8000, PK, 5, 75228
481623010562, HAROLD WENDELL LANG SR MIDDLE SCHOOL, Public, (972) 925-2400, 6, 8, 75228
481623001240, S S CONNER ELEMENTARY SCHOOL, Public, (972) 749-8200, PK, 5, 75228
481623001261, W H GASTON MIDDLE SCHOOL, Public, (972) 502-5400, 6, 8, 75228
01324512, BISHOP LYNCH HIGH SCHOOL, Private, (214) 324-3607, 9, 12, 75228
A9503986, DALLAS MONTESSORI ACADEMY, Private, (214) 388-0091, PK, 8, 75228
01324294, ST PIUS X CATHOLIC SCHOOL, Private, (972) 279-2339, KG, 8, 75228
01328572, WHITE ROCK MONTESSORI SCHOOL, Private, (214) 324-5580, PK, 8, 75228
481623001231, EDWARD H CARY MIDDLE, Public, (972) 502-7600, 6, 8, 75229
481623006933, EVERETTE LEE DEGOLYER ELEMENTARY SCHOOL, Public, (972) 794-2800, PK, 5, 75229
481623001226, F P CAILLET ELEMENTARY SCHOOL, Public, (972) 794-3200, PK, 5, 75229
481623021021, HARRY C WITHERS EL, Public, (972) 794-5000, PK, 5, 75229
481623001313, HERBERT MARCUS EL, Public, (972) 794-2900, PK, 5, 75229
481623001329, JOHN J PERSHING EL SCHOOL, Public, (972) 794-8600, PK, 5, 75229
481623001289, THOMAS JEFFERSON H S, Public, (972) 502-7300, 9, 12, 75229
481623001256, TOM W FIELD EL, Public, (972) 794-2700, PK, 5, 75229
481623001380, WALNUT HILL EL SCHOOL, Public, (972) 502-7800, PK, 5, 75229
Y1326178, EPISCOPAL SCHOOL OF DALLAS PK-12, Private, (214) 358-4368, PK, 12, 75229
01326112, GOOD SHEPHERD EPISCOPAL SCHOOL, Private, (214) 357-1610, PK, 8, 75229
A9300898, GRACE ACADEMY OF DALLAS, Private, (214) 696-5648, PK, 6, 75229
01326586, HOLY CROSS LUTHERAN SCHOOL, Private, (214) 358-4396, PK, 6, 75229
01324352, ST MONICA SCHOOL, Private, (214) 351-5688, PK, 8, 75229
A0903622, THE CAMBRIDGE SCHOOL OF DALLAS, Private, (214) 357-2995, 6, 12, 75229
A0109399, THE HOCKADAY SCHOOL, Private, (214) 363-6311, PK, 12, 75229
01326746, THE LAMPLIGHTER SCHOOL, Private, (214) 369-9201, PK, 4, 75229
A0109513, THE WINSTON SCHOOL, Private, (214) 691-6950, 1, 12, 75229
01635175, URSULINE ACADEMY OF DALLAS, Private, (469) 232-1800, 9, 12, 75229
481623006681, ARTHUR KRAMER EL SCHOOL, Public, (972) 794-8300, PK, 5, 75230
481623006088, BENJAMIN FRANKLIN MIDDLE, Public, (972) 502-7100, 6, 8, 75230
481623011193, EWELL D WALKER MIDDLE, Public, (972) 925-3700, 6, 8, 75230
481623007854, GEORGE BANNERMAN DEALEY INTERNATIONAL ACADEMY, Public, (972) 794-8400, 7, 8, 75230
481623006932, GEORGE BANNERMAN DEALEY MONTESSORI VANGUARD, Public, (972) 794-8400, PK, 6, 75230
481623001277, HILLCREST H S, Public, (972) 502-6800, 9, 12, 75230
481623001333, PRESTON HOLLOW EL, Public, (972) 794-8500, PK, 5, 75230
01328255, PRESTON HOLLOW PRESBYTERIAN SCHOOL, Private, (214) 368-3886, PK, 6, 75230
01326269, ST ALCUIN MONTESSORI SCHOOL, Private, (972) 239-1745, PK, 8, 75230
A0109464, ST MARK'S SCHOOL OF TEXAS, Private, (214) 346-8000, 1, 12, 75230
481623010560, EMMETT J CONRAD H S, Public, (972) 502-2300, 9, 12, 75231
481623010569, JACK LOWE SR EL, Public, (972) 502-1700, PK, 5, 75231
481623007855, JILL STONE EL AT VICKERY MEADOW, Public, (972) 502-7900, PK, 5, 75231
481623001282, L L HOTCHKISS EL, Public, (972) 749-7000, PK, 5, 75231
481623010576, LEE A MCSHAN JR EL, Public, (972) 502-6052, PK, 5, 75231
483702005584, MERRIMAN PARK EL, Public, (469) 593-2800, KG, 6, 75231
481623011196, SAM TASBY MIDDLE, Public, (972) 502-1900, 6, 8, 75231
A9504090, MONTESSORI CHILDREN'S HOUSE & SCHOOL, Private, (214) 348-6276, Ungraded,Ungraded,75231
01914975, SCOFIELD CHRISTIAN SCHOOL, Private, (214) 349-6843, PK, 6, 75231
480009008161, ACADEMY OF DALLAS, Public, (214) 371-9600, PK, 8, 75232
481623001375, ADELLE TURNER EL, Public, (972) 794-6300, PK, 5, 75232
481623001207, BIRDIE ALEXANDER EL, Public, (972) 749-3100, PK, 5, 75232
481623001284, D A HULCY MIDDLE, Public, (214) 932-7400, 6, 8, 75232
481623001229, DAVID W CARTER HIGH SCHOOL, Public, (214) 932-5700, 9, 12, 75232
481623001376, MARK TWAIN LEADERSHIP VANGUARD, Public, (972) 749-3000, PK, 5, 75232
481623001382, MARTIN WEISS EL SCHOOL, Public, (972) 749-4000, PK, 5, 75232
481623001368, T G TERRY ELEMENTARY SCHOOL, Public, (972) 749-3200, PK, 5, 75232
481623001303, UMPHREY LEE ELEMENTARY SCHOOL, Public, (972) 749-3900, PK, 5, 75232
481623001211, WILLIAM HAWLEY ATWELL LAW ACADEMY, Public, (972) 794-6400, 6, 8, 75232
A9300855, FELLOWSHIP CHRISTIAN ACADEMY, Private, (214) 672-9200, PK, 8, 75232
A0702214, FREDERICK DOUGLASS ACADEMY, Private, (972) 228-5210, PK, KG, 75232
481623001381, DANIEL WEBSTER ELEMENTARY SCHOOL, Public, (972) 794-6100, PK, 6, 75233
480009608167, FOCUS LEARNING ACADEMY, Public, (214) 467-7751, PK, 9, 75233
480023709189, GOLDEN RULE CHARTER SCHOOL, Public, (214) 333-9330, PK, 8, 75233
480023712366, GOLDEN RULE DESOTO, Public, (469) 248-4463, PK, 1, 75233
480023712372, GOLDEN RULE SOUTHWEST, Public, (214) 333-9330, N ,N ,75233
481623001295, JUSTIN F KIMBALL H S, Public, (972) 502-2100, 9, 12, 75233
481623007250, MARIA MORENO ELEMENTARY SCHOOL, Public, (972) 502-3100, PK, 6, 75233
481623001217, T W BROWNE MIDDLE, Public, (972) 502-2500, 7, 8, 75233
481623007254, THOMAS TOLBERT EL, Public, (972) 794-5900, PK, 6, 75233
481305009191, BLAIR EL, Public, (972) 968-1000, KG, 5, 75234
481305000797, FARMERS BRANCH EL, Public, (972) 968-1600, PK, 5, 75234
481305000798, FIELD MIDDLE, Public, (972) 968-3900, 6, 8, 75234
481305000808, MONTGOMERY PRI, Public, (972) 968-2700, KG, 2, 75234
481305000805, STARK EL, Public, (972) 968-3300, PK, 5, 75234
481305011192, STRICKLAND INT, Public, (972) 968-5700, 3, 5, 75234
481623001385, WILLIAM L CABELL EL, Public, (972) 794-2400, PK, 5, 75234
01324465, MARY IMMACULATE ELEMENTARY SCHOOL, Private, (972) 243-7105, KG, 8, 75234
A9504204, WINDSONG MONTESSORI SCHOOL LLC, Private, (972) 620-2466, PK, 6, 75234
481623001210, ARLINGTON PARK COMMUNITY LEARNING CENTER, Public, (972) 749-5500, PK, 5, 75235
481623008518, CALLIER CENTER PRE-SCHOOL DEAF (0-5), Public, (972) 982-1036, PK,PK,75235
481623001312, MAPLE LAWN EL, Public, (972) 925-2500, PK, 5, 75235
481623001297, OBADIAH KNIGHT ELEMENTARY SCHOOL, Public, (972) 749-5300, PK, 5, 75235
481623007248, ONESIMO HERNANDEZ EL, Public, (214) 925-2700, PK, 5, 75235
481623001347, THOMAS J RUSK MIDDLE, Public, (972) 925-2000, 6, 8, 75235
01324443, OUR LADY OF PERPETUAL HELP SCHOOL, Private, (214) 351-3396, PK, 8, 75235
481764009501, JAMES R BILHARTZ JR EL, Public, (972) 708-6600, PK, 4, 75236
A0303048, CLAY ACADEMY, Private, (214) 467-4143, PK, 8, 75236
480009510550, A W BROWN - FELLOWSHIP NORTH CAMPUS, Public, (972) 709-4700, PK,PK,75237
480009508166, AW BROWN-FELLOWSHIP CHARTER SCHOOL, Public, (972) 709-4700, KG, 6, 75237
481623006393, RONALD E MCNAIR ELEMENTARY SCHOOL, Public, (972) 794-6200, PK, 5, 75237
A0503422, IBOC CHRISTIAN ACADEMY, Private, (972) 572-4262, PK, 6, 75237
481623010575, HIGHLAND MEADOWS EL, Public, (972) 502-5200, PK, 5, 75238
483702004137, LAKE HIGHLANDS EL, Public, (469) 593-2100, PK, 6, 75238
483702007861, LAKE HIGHLANDS FRESHMAN CENTER, Public, (469) 593-1300, 8, 9, 75238
483702004138, LAKE HIGHLANDS H S, Public, (469) 593-1000, 9, 12, 75238
483702004139, LAKE HIGHLANDS J H, Public, (469) 593-1600, 7, 8, 75238
483702004143, NORTHLAKE EL, Public, (469) 593-2300, PK, 6, 75238
483702004164, WALLACE EL, Public, (469) 593-2600, KG, 6, 75238
483702004166, WHITE ROCK EL, Public, (469) 593-2700, PK, 6, 75238
01329066, CALVARY LUTHERAN SCHOOL, Private, (214) 343-7457, KG, 8, 75238
02060159, ST JAMES EPISCOPAL SCHOOL OF DALLAS, Private, (214) 348-1349, PK, 4, 75238
01324341, ST PATRICK SCHOOL, Private, (214) 348-8070, PK, 8, 75238
01327397, THE HIGHLANDER CARDEN SCHOOL, Private, (214) 348-3220, PK, 6, 75238
02060465, WHITE ROCK NORTH SCHOOL, Private, (214) 348-7410, PK, 4, 75238
483702010603, CAROLYN G BUKHAIR EL, Public, (469) 593-4900, 1, 6, 75240
483702004130, DOBIE PRI, Public, (469) 593-4100, PK, KG, 75240
483702004145, NORTHWOOD HILLS EL, Public, (469) 593-4300, KG, 6, 75240
483702006899, RISD ACAD, Public, (469) 593-3300, PK, 6, 75240
483702004160, SPRING VALLEY EL, Public, (469) 593-4600, PK, 6, 75240
A9503982, COVENANT SCHOOL, Private, (214) 358-5818, KG, 12, 75240
A0702222, HOLY TRINITY ACADEMY, Private, (972) 490-7060, PK, 1, 75240
481623001204, A MACEO SMITH H S, Public, (214) 932-7600, 9, 12, 75241
480009108162, CHILDREN FIRST OF DALLAS, Public, (214) 371-2545, PK, 7, 75241
480018411485, GATEWAY CHARTER ACADEMY - MIDDLE - H S, Public, (214) 375-2039, 6, 12, 75241
480018408507, GATEWAY CHARTER ACADEMY -EL, Public, (214) 375-2039, PK, 5, 75241
481623005442, J N ERVIN EL SCHOOL, Public, (972) 749-3700, PK, 5, 75241
481623011194, MAYNARD H JACKSON MIDDLE, Public, (972) 925-3700, 6, 8, 75241
480009312112, MEDLOCK YOUTH VILLAGE, Public, (972) 225-9735, 6, 12, 75241
481623012550, NEW TECH H S, Public, (972) 925-3700, N ,N ,75241
481623001371, R L THORNTON ELEMENTARY SCHOOL, Public, (972) 794-8000, PK, 5, 75241
481623001370, THOMAS L MARSALIS ELEMENTARY SCHOOL, Public, (972) 749-3500, PK, 5, 75241
A0771769, GRAN'S LIL' ANGELS ACHIEVEMENT ACADEMY, Private, (214) 371-8991, PK, KG, 75241
483702005581, AIKIN EL, Public, (469) 593-1820, PK, 6, 75243
483702009605, AUDELIA CREEK EL, Public, (469) 593-2900, PK, 6, 75243
483702008193, FOREST LANE ACADEMY, Public, (469) 593-1850, PK, 6, 75243
483702004132, FOREST MEADOW J H, Public, (469) 593-1500, 7, 8, 75243
483702004133, FORESTRIDGE EL, Public, (469) 593-8500, PK, 6, 75243
483702004135, HAMILTON PARK PACESETTER MAGNET, Public, (469) 593-3900, PK, 6, 75243
480029212542, HARMONY SCIENCE ACADEMY - DALLAS, Public, (972) 234-7878, KG, 12, 75243
483702004140, LIBERTY J H, Public, (469) 593-7888, 7, 8, 75243
483702004142, MOSS HAVEN EL, Public, (469) 593-2200, KG, 6, 75243
480027111189, RICHLAND COLLEGIATE HS OF MATH SCIENCE ENGINEERING, Public, (972) 761-6888, 11, 12, 75243
483702004158, SKYVIEW EL, Public, (469) 593-2400, PK, 6, 75243
483702004162, STULTS ROAD EL, Public, (469) 593-2500, PK, 6, 75243
483702011202, THURGOOD MARSHALL EL, Public, (469) 593-6800, PK, 6, 75243
01326961, DALLAS LUTHERAN SCHOOL, Private, (214) 349-8912, 7, 12, 75243
481305011190, EARLY COLLEGE H S, Public, (972) 968-6200, 9, 12, 75244
481623006392, NATHAN ADAMS ELEMENTARY SCHOOL, Public, (972) 794-2600, PK, 5, 75244
481623001369, THOMAS C MARSH MIDDLE SCHOOL, Public, (972) 502-6600, 6, 8, 75244
481623001265, TOM C GOOCH ELEMENTARY SCHOOL, Public, (972) 794-2500, PK, 5, 75244
481623001383, W T WHITE HIGH SCHOOL, Public, (972) 502-6200, 9, 12, 75244
01324487, JESUIT COLLEGE PREP SCHOOL, Private, (972) 387-8700, 9, 12, 75244
01324283, ST RITA SCHOOL, Private, (972) 239-3203, KG, 8, 75244
A0303150, THE PARISH EPISCOPAL SCHOOL PK-12, Private, (977) 239-8011, PK, 12, 75244
A0702288, THE WESTWOOD SCHOOL, Private, (972) 239-8598, PK, 11, 75244
A0303155, VANGUARD PREPARATORY SCHOOL, Private, (972) 404-1616, Ungraded,Ungraded,75244
481623001243, IGNACIO ZARAGOZA EL SCHOOL, Public, (972) 749-8600, PK, 5, 75246
483702004126, BOWIE EL, Public, (469) 593-6000, KG, 6, 75248
483702004127, BRENTFIELD EL, Public, (469) 593-5730, KG, 6, 75248
483702005585, PARKHILL J H, Public, (469) 593-5600, 7, 8, 75248
483702004150, PRESTONWOOD EL, Public, (469) 593-6700, KG, 6, 75248
483702004159, SPRING CREEK EL, Public, (469) 593-4500, PK, 6, 75248
483702004165, WESTWOOD J H, Public, (469) 593-3600, 7, 8, 75248
01914986, SHELTON SCHOOL, Private, (972) 774-1772, PK, 12, 75248
01915006, THE FAIRHILL SCHOOL, Private, (972) 233-1026, 1, 12, 75248
481764001521, CHARLES ACTON EL, Public, (972) 708-2400, PK, 4, 75249
481764009197, CJ & ANNE HYMAN EL, Public, (972) 708-6700, PK, 4, 75249
481764010588, G W KENNEMER MIDDLE, Public, (972) 708-3600, 7, 8, 75249
480028012606, HARMONY SCHOOL OF NATURE & ATHLETICS, Public, (817) 263-0700, KG, 8, 75249
01327524, AKIBA ACADEMY OF DALLAS, Private, (214) 295-3400, PK, 8, 75251
A0702243, MESORAH HIGH SCHOOL FOR GIRLS, Private, (214) 420-1990, 9, 12, 75251
A9504208, YAVNEH ACADEMY OF DALLAS, Private, (214) 295-3507, 9, 12, 75251
483510007834, FRANKFORD MIDDLE, Public, (469) 752-5200, 6, 8, 75252
483510006955, ROSE HAGGAR EL, Public, (469) 752-1400, KG, 5, 75252
A0109323, ALL SAINTS CATHOLIC SCHOOL, Private, (214) 217-3300, KG, 8, 75252
01635233, ANN & NATE LEVINE ACADEMY, Private, (972) 248-3032, PK, 8, 75252
A9504102, MONTESSORI SCHOOL OF NORTH DALLAS, Private, (972) 985-8844, Ungraded,Ungraded,75252
A0903621, TEXAS TORAH INSTITUTE, Private, (972) 250-4888, 9, 12, 75252
A0109431, TORAH DAY SCHOOL OF DALLAS, Private, (972) 964-0090, PK, 8, 75252
481623001296, KLEBERG EL, Public, (972) 749-6500, PK, 5, 75253
481623001352, SEAGOVILLE H S, Public, (972) 892-5900, 9, 12, 75253
481623001353, SEAGOVILLE MIDDLE SCHOOL, Public, (972) 892-7100, 6, 8, 75253
480023711465, GOLDEN RULE, Public, (214) 333-9330, PK, 2, 75262
481305005670, LONG MIDDLE, Public, (972) 662-4100, 6, 8, 75287
481305000463, MCKAMY EL, Public, (972) 968-2400, PK, 5, 75287
481305008511, MCWHORTER EL, Public, (972) 968-2600, KG, 5, 75287
483510000434, MITCHELL EL, Public, (469) 752-2800, KG, 5, 75287
481305021019, SHEFFIELD INT, Public, (972) 968-3200, 3, 5, 75287
481305006076, SHEFFIELD PRI, Public, (972) 968-3100, PK, 2, 75287
481515001021, COOPER EL, Public, (903) 395-2111, PK, 5, 75432
481515001022, COOPER H S, Public, (903) 395-0509, 9, 12, 75432
481515001023, COOPER J H, Public, (903) 395-0509, 6, 8, 75432
481905001775, FANNINDEL EL, Public, (903) 359-6314, PK, 5, 75469
481305006230, BLALACK MIDDLE, Public, (972) 968-3500, 6, 8, 75007
481305007852, CREEKVIEW H S, Public, (972) 968-4800, 9, 12, 75007
481305000796, DAVIS EL, Public, (972) 968-1500, KG, 5, 75007
481305005968, FURNEAUX EL, Public, (972) 968-1800, KG, 5, 75007
480029212548, HARMONY SCHOOL OF INNOVATION - DALLAS, Public, (469) 892-5556, KG, 9, 75007
482730008198, HOMESTEAD ELEMENTARY, Public, (469) 713-5181, PK, 5, 75007
481305005854, HUIE SPECIAL EDUC CTR, Public, (972) 968-5800, PK,PK,75007
481305006663, KENT EL, Public, (972) 968-2000, PK, 5, 75007
