240033001429, CENTERVILLE ELEMENTARY, 3601 CARRIAGE HILL DR, FREDERICK, MD 21704, (240) 566-0100, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
510087002100, CLARKE COUNTY HIGH, 240 WESTWOOD DR, BERRYVILLE, VA 22611, (540) 955-6130, ξξ-ξξCLARKE COUNTY COUNTY, Public,9,12,,
510087000354, D G COOLEY ELEM, 34 WESTWOOD RD, BERRYVILLE, VA 22611, (540) 955-6120, ξξ-ξξCLARKE COUNTY COUNTY, Public, PK,5,,
510087000353, JOHNSON-WILLIAMS MIDDLE, 200 SWAN AVE, BERRYVILLE, VA 22611, (540) 955-6160, ξξ-ξξCLARKE COUNTY COUNTY, Public,6,8,,
1612373, KEYSTONE CHRISTIAN ACADEMY, 15 KEYSTONE LN, BERRYVILLE, VA 22611, (540) 955-0205, ξξ-ξξCLARKE COUNTY, Private, PK,12,,
510087000352, BOYCE ELEM, 119 W MAIN ST, BOYCE, VA 22620, (540) 955-6115, ξξ-ξξCLARKE COUNTY COUNTY, Public, KG,5,,
1434139, POWHATAN SCHOOL, 49 POWHATAN LN, BOYCE, VA 22620, (540) 837-1009, ξξ-ξξCLARKE COUNTY, Private, KG,8,,
510147000659, STONEWALL ELEM., 3165 MARTINSBURG PIKE, CLEAR BROOK, VA 22624, (540) 662-2289, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
A9703503, WAKEFIELD COUNTRY DAY SCHOOL, PO BOX 739, FLINT HILL, VA 22627, (540) 635-8555, ξξ-ξξRAPPAHANNOCK COUNTY, Private, PK,12,,
510387001729, A.S. RHODES ELEM., 224 W STRASBURG RD, FRONT ROYAL, VA 22630, (540) 635-4556, ξξ-ξξWARREN COUNTY COUNTY, Public, KG,5,,
510387001730, E. WILSON MORRISON ELEM., 40 CRESCENT ST, FRONT ROYAL, VA 22630, (540) 635-4188, ξξ-ξξWARREN COUNTY COUNTY, Public, KG,5,,
510387001636, HILDA J. BARBOUR ELEM., 290 WESTMINSTER DRIVE, FRONT ROYAL, VA 22630, (540) 622-8090, ξξ-ξξWARREN COUNTY COUNTY, Public, KG,5,,
510387001731, LESLIE FOX KEYSER ELEM., 1015 STONEWALL DR, FRONT ROYAL, VA 22630, (540) 635-3125, ξξ-ξξWARREN COUNTY COUNTY, Public, KG,5,,
510387001732, RESSIE JEFFRIES ELEM., 320 EAST CRISER ROAD, FRONT ROYAL, VA 22630, (540) 636-6824, ξξ-ξξWARREN COUNTY COUNTY, Public, KG,5,,
510387002657, SKYLINE HIGH, 151 SKYLINE VISTA DRIVE, FRONT ROYAL, VA 22630, (540) 631-0366, ξξ-ξξWARREN COUNTY COUNTY, Public,8,12,,
510387001733, WARREN COUNTY HIGH, 155 WESTMINSTER DRIVE, FRONT ROYAL, VA 22630, (540) 635-4144, ξξ-ξξWARREN COUNTY COUNTY, Public,8,12,,
510387001734, WARREN COUNTY MIDDLE, 240 LURAY AVENUE, FRONT ROYAL, VA 22630, (540) 635-2194, ξξ-ξξWARREN COUNTY COUNTY, Public,6,7,,
A0702342, BETHEL CHRISTIAN SCHOOL, 80 N LAKE AVE, FRONT ROYAL, VA 22630, (540) 635-6799, ξξ-ξξWARREN COUNTY, Private, PK,10,,
A0109950, MOUNTAIN LAUREL MONTESSORI SCHOOL, PO BOX 102, FRONT ROYAL, VA 22630, (540) 636-4257, ξξ-ξξWARREN COUNTY, Private, PK,9,,
1433135, RANDOLPH-MACON ACADEMY, 200 ACADEMY DR, FRONT ROYAL, VA 22630, (540) 636-5204, ξξ-ξξWARREN COUNTY, Private,6,12,,
A0109924, RIVERFRONT CHRISTIAN SCHOOL, 55 E STRASBURG RD, FRONT ROYAL, VA 22630, (540) 635-8202, ξξ-ξξWARREN COUNTY, Private, PK,12,,
2065248, ROYAL CHRISTIAN ACADEMY, 1111 N SHENANDOAH AVE, FRONT ROYAL, VA 22630, (540) 636-7940, ξξ-ξξWARREN COUNTY, Private, PK,6,,
510147002149, MIDDLETOWN ELEM., 190 MUSTANG LN, MIDDLETOWN, VA 22645, (540) 869-4615, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
510285001183, SPRINGFIELD ELEM, 158 BIG SPRING LANE, RILEYVILLE, VA 22650, (540) 743-3750, ξξ-ξξPAGE COUNTY COUNTY, Public, PK,5,,
510147000647, BASS-HOOVER ELEM., 471 AYLOR ROAD, STEPHENS CITY, VA 22655, (540) 869-4700, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
510147002501, EVENDALE ELEM., 471 AYLOR ROAD, STEPHENS CITY, VA 22655, (540) 662-0531, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
510147000656, ROBERT E. AYLOR MIDDLE, 901 AYLOR RD, STEPHENS CITY, VA 22655, (540) 869-3736, ξξ-ξξFREDERICK COUNTY COUNTY, Public,6,8,,
510147000524, SHERANDO HIGH, 185 SOUTH WARRIOR DRIVE, STEPHENS CITY, VA 22655, (540) 869-0060, ξξ-ξξFREDERICK COUNTY COUNTY, Public,9,12,,
AA890966, SHENANDOAH VALLEY CHRISTIAN ACADEMY, PO BOX 1360, STEPHENS CITY, VA 22655, (540) 869-4600, ξξ-ξξFREDERICK COUNTY, Private, PK,12,,
510351001547, SANDY HOOK ELEM., 162 STICKLEY LOOP, STRASBURG, VA 22657, (540) 465-8281, ξξ-ξξSHENANDOAH COUNTY COUNTY, Public, PK,5,,
510351000221, SIGNAL KNOB MIDDLE, 687 SANDY HOOK RD, STRASBURG, VA 22657, (540) 465-3422, ξξ-ξξSHENANDOAH COUNTY COUNTY, Public,6,8,,
510351001549, STRASBURG HIGH, 250 RAM DRIVE, STRASBURG, VA 22657, (540) 465-5195, ξξ-ξξSHENANDOAH COUNTY COUNTY, Public,9,12,,
510007002273, WHITE POST DETENTION CENTER, RT 52, WHITE POST, VA 22663, (540) 868-7026, ξξ-ξξCLARKE COUNTY COUNTY, Public, N ,N ,,
510351001543, CENTRAL HIGH, 1147 SUSAN AVENUE, WOODSTOCK, VA 22664, (540) 459-2161, ξξ-ξξSHENANDOAH COUNTY COUNTY, Public,9,12,,
510351000958, PETER MUHLENBERG MIDDLE, 1251 SUSAN AVE, WOODSTOCK, VA 22664, (540) 459-2941, ξξ-ξξSHENANDOAH COUNTY COUNTY, Public,6,8,,
510351001554, W.W. ROBINSON ELEM., 1231 SUSAN AVENUE, WOODSTOCK, VA 22664, (540) 459-5155, ξξ-ξξSHENANDOAH COUNTY COUNTY, Public, PK,5,,
A0110008, COMMUNITY CHRISTIAN SCHOOL, 23749 OLD VALLEY PIKE, WOODSTOCK, VA 22664, (540) 459-5832, ξξ-ξξSHENANDOAH COUNTY, Private, PK,8,,
1434037, MASSANUTTEN MILITARY ACADEMY, 614 S MAIN ST, WOODSTOCK, VA 22664, (540) 459-2167, ξξ-ξξSHENANDOAH COUNTY, Private,7,12,,
510105000374, A G RICHARDSON ELEM, 18370 SIMMS DR, CULPEPER, VA 22701, (540) 825-0616, ξξ-ξξCULPEPER COUNTY COUNTY, Public, PK,5,,
510105000376, CULPEPER COUNTY HIGH, 14240 ACHIEVEMENT DRIVE, CULPEPER, VA 22701, (540) 825-8310, ξξ-ξξCULPEPER COUNTY COUNTY, Public,9,12,,
510105000377, CULPEPER MIDDLE, 14300 ACHIEVEMENT DR, CULPEPER, VA 22701, (540) 825-4140, ξξ-ξξCULPEPER COUNTY COUNTY, Public,6,8,,
510105002758, EASTERN VIEW HIGH, 16332 CYCLONE WAY, CULPEPER, VA 22701, (540) 825-0621, ξξ-ξξCULPEPER COUNTY COUNTY, Public,9,12,,
510105001612, EMERALD HILL ELEM, 11245 RIXEYVILLE RD, CULPEPER, VA 22701, (540) 937-7361, ξξ-ξξCULPEPER COUNTY COUNTY, Public, PK,5,,
510105000378, FARMINGTON ELEM, 500 SUNSET LN, CULPEPER, VA 22701, (540) 825-0713, ξξ-ξξCULPEPER COUNTY COUNTY, Public, PK,5,,
510105001959, GALBREATH-MARSHALL BLDG, 1401 OLD FREDERICKSBURG RD., CULPEPER, VA 22701, (540) 825-3677, ξξ-ξξCULPEPER COUNTY COUNTY, Public, PK,PK,,
510105000380, PEARL SAMPLE ELEM, 18480 SIMMS DR, CULPEPER, VA 22701, (540) 825-5448, ξξ-ξξCULPEPER COUNTY COUNTY, Public, PK,5,,
510105000382, SYCAMORE PARK ELEM, 451 RADIO LN, CULPEPER, VA 22701, (540) 825-8847, ξξ-ξξCULPEPER COUNTY COUNTY, Public, PK,5,,
510105002748, YOWELL ELEM, 701 YOWELL DRIVE, CULPEPER, VA 22701, (540) 825-9484, ξξ-ξξCULPEPER COUNTY COUNTY, Public, PK,5,,
2164329, CULPEPER CHRISTIAN SCHOOL, 810 OLD RIXEYVILLE RD, CULPEPER, VA 22701, (540) 825-4208, ξξ-ξξCULPEPER COUNTY, Private, PK,8,,
A9708201, EPIPHANY CATHOLIC SCHOOL, 114 E EDMONDSON ST, CULPEPER, VA 22701, (540) 825-9017, ξξ-ξξCULPEPER COUNTY, Private, PK,8,,
2063819, ST LUKES LUTHERAN SCHOOL, 1200 OLD RIXEYVILLE RD, CULPEPER, VA 22701, (540) 825-8890, ξξ-ξξCULPEPER COUNTY, Private, PK,9,,
510132000605, CEDAR LEE MIDDLE, 11138 MARSH ROAD, BEALETON, VA 22712, (540) 439-3207, ξξ-ξξFAUQUIER COUNTY COUNTY, Public,6,8,,
510132002184, GRACE MILLER ELEM., 6248 CATLETT RD, BEALETON, VA 22712, (540) 439-1913, ξξ-ξξFAUQUIER COUNTY COUNTY, Public, PK,5,,
510132000854, LIBERTY HIGH, 6300 INDEPENDENCE AVE, BEALETON, VA 22712, (540) 439-6300, ξξ-ξξFAUQUIER COUNTY COUNTY, Public,9,12,,
510132001846, MARY WALTER ELEM., 4529 MORRISVILLE ROAD, BEALETON, VA 22712, (540) 439-3279, ξξ-ξξFAUQUIER COUNTY COUNTY, Public, PK,5,,
A9106662, MASSANOVA CHRISTIAN ACADEMY, 691 AARON MOUNTAIN RD, CASTLETON, VA 22716, (540) 937-5661, ξξ-ξξRAPPAHANNOCK COUNTY, Private,1,12,,
A9703448, VILLAGE ACADEMY AT CHILDHELP EAST, 23164 DRAGOON RD, LIGNUM, VA 22726, (540) 399-5090, ξξ-ξξCULPEPER COUNTY, Private, KG,8,,
510237000972, MADISON COUNTY HIGH, 68 MOUNTAINEER LANE, MADISON, VA 22727, (540) 948-3785, ξξ-ξξMADISON COUNTY COUNTY, Public,9,12,,
510237000973, MADISON PRIMARY, 158 PRIMARY SCHOOL DRIVE, MADISON, VA 22727, (540) 948-3781, ξξ-ξξMADISON COUNTY COUNTY, Public, PK,2,,
510237000974, WAVERLY YOWELL ELEM., 1809 NORTH MAIN STREET, MADISON, VA 22727, (540) 948-4511, ξξ-ξξMADISON COUNTY COUNTY, Public,3,5,,
510237000975, WILLIAM H. WETSEL MIDDLE, 186 MOUNTAINEER LANE, MADISON, VA 22727, (540) 948-3783, ξξ-ξξMADISON COUNTY COUNTY, Public,6,8,,
510132002186, ALTERNATIVE EDUCATION CTR., 4484 CATLETT ROAD, MIDLAND, VA 22728, (540) 788-1054, ξξ-ξξFAUQUIER COUNTY COUNTY, Public, N ,N ,,
510008202373, THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM, C/O SOUTHEASTERN ALT SCHOOL, MIDLAND, VA 22728, (540) 788-9011, ξξ-ξξFAUQUIER COUNTY COUNTY, Public, N ,N ,,
A9904394, MIDLAND CHRISTIAN ACADEMY, 10456 OLD CAROLINA RD, MIDLAND, VA 22728, (540) 439-2606, ξξ-ξξFAUQUIER COUNTY, Private, PK,8,,
510007002580, CEDAR MOUNTAIN HIGH, 12240 COFFEWOOD DR, MITCHELLS, VA 22729, (540) 727-3314, ξξ-ξξCULPEPER COUNTY COUNTY, Public,10,12,,
510007002265, COFFEWOOD CORR CTR, PO BOX 500, MITCHELLS, VA 22729, (540) 829-6483, ξξ-ξξCULPEPER COUNTY COUNTY, Public, N ,N ,,
510004202381, CULPEPER JUVENILE DETENTION HOME, PO BOX 1000, MITCHELLS, VA 22729, (540) 727-3324, ξξ-ξξCULPEPER COUNTY COUNTY, Public, N ,N ,,
2064798, OAK GROVE MENNONITE SCHOOL, PO BOX 56, PRATTS, VA 22731, (540) 948-3116, ξξ-ξξMADISON COUNTY, Private, KG,12,,
510132000612, MARGARET M. PIERCE ELEM., 12074 JAMES MADISON ST, REMINGTON, VA 22734, (540) 422-7630, ξξ-ξξFAUQUIER COUNTY COUNTY, Public, PK,5,,
A0508276, HEARTHSTONE SCHOOL, PO BOX 247, SPERRYVILLE, VA 22740, (540) 987-9212, ξξ-ξξRAPPAHANNOCK COUNTY, Private, KG,10,,
510321001346, RAPPAHANNOCK CO. HIGH, 12576 LEE HIGHWAY, WASHINGTON, VA 22747, (540) 987-8575, ξξ-ξξRAPPAHANNOCK COUNTY COUNTY, Public,8,12,,
510321001347, RAPPAHANNOCK COUNTY ELEMENTARY, 34 SCHOOLHOUSE ROAD, WASHINGTON, VA 22747, (540) 987-8259, ξξ-ξξRAPPAHANNOCK COUNTY COUNTY, Public, PK,7,,
510186000782, HARRISONBURG HIGH, 1001 GARBERS CHURCH ROAD, HARRISONBURG, VA 22801, (540) 433-2652, ξξ-ξξHARRISONBURG CITY COUNTY, Public,9,12,,
510007002270, HARRISONBURG MEN'S DIV CENTER, 6624 BEARD WOODS LANE, HARRISONBURG, VA 22801, (540) 833-2411, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, N ,N ,,
510186000783, KEISTER ELEM., 100 MARYLAND AVENUE, HARRISONBURG, VA 22801, (540) 434-6585, ξξ-ξξHARRISONBURG CITY COUNTY, Public, KG,4,,
510000602018, MASSANUTTEN TECH CTR, 325 PLEASANT VALLEY RD, HARRISONBURG, VA 22801, (540) 434-5961, ξξ-ξξHARRISONBURG CITY COUNTY, Public,9,12,,
510339002545, MOUNTAIN VIEW ELEM., 2800 RAWLEY PIKE, HARRISONBURG, VA 22801, (540) 438-1965, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
510339001509, PLEASANT VALLEY ELEM., 215 PLEASANT VALLEY RD, HARRISONBURG, VA 22801, (540) 434-4557, ξξ-ξξHARRISONBURG CITY COUNTY, Public, PK,5,,
510186000785, SPOTSWOOD ELEM., 400 MOUNTAIN VIEW DRIVE, HARRISONBURG, VA 22801, (540) 434-3429, ξξ-ξξHARRISONBURG CITY COUNTY, Public, KG,4,,
510186000602, STONE SPRING ELEM., 1575 PEACH GROVE AVE, HARRISONBURG, VA 22801, (540) 574-1199, ξξ-ξξHARRISONBURG CITY COUNTY, Public, KG,4,,
510186002150, THOMAS HARRISON MIDDLE, 1311 W. MARKET STREET, HARRISONBURG, VA 22801, (540) 434-1949, ξξ-ξξHARRISONBURG CITY COUNTY, Public,5,8,,
1434616, BEREA CHRISTIAN SCHOOL, 1351 GARBERS CHURCH RD, HARRISONBURG, VA 22801, (540) 432-0007, ξξ-ξξHARRISONBURG COUNTY, Private,1,12,,
A9904383, GOOD SHEPHERD SCHOOL & DAYCARE-2342 , NEFF AVE, HARRISONBURG, VA 22801, (540) 564-1744, ξξ-ξξHARRISONBURG COUNTY, Private, PK,11,,
A0503614, WOODLAND MONTESSORI SCHOOL, 1350 PEACH GROVE AVE, HARRISONBURG, VA 22801, (540) 432-6111, ξξ-ξξHARRISONBURG COUNTY, Private, PK,KG,,
510007002716, HARISONBURG DIVERSION CTR, 6624 BEARD WOODS LN, HARRISONBURG, VA 22802, (540) 833-2411, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, N ,N ,,
510339002163, LACEY SPRING ELEM., 8621 NORTH VALLEY PIKE, HARRISONBURG, VA 22802, (540) 433-7819, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
510186002766, SKYLINE MIDDLE, 470 LINDA LANE, HARRISONBURG, VA 22802, (540) 434-6862, ξξ-ξξHARRISONBURG CITY COUNTY, Public,5,8,,
510186002761, SMITHLAND ELEM., 474 LINDA LANE, HARRISONBURG, VA 22802, (540) 434-6075, ξξ-ξξHARRISONBURG CITY COUNTY, Public, KG,4,,
510186000787, WATERMAN ELEM., 451 CHICAGO AVE, HARRISONBURG, VA 22802, (540) 434-8352, ξξ-ξξHARRISONBURG CITY COUNTY, Public, KG,4,,
A0303206, CALVARY CHRISTIAN ACADEMY, 6083 MT CLINTON PIKE, HARRISONBURG, VA 22802, (540) 867-9848, ξξ-ξξROCKINGHAM COUNTY, Private,1,12,,
A0702346, CORNERSTONE CHRISTIAN SCHOOL, 197 CORNERSTONE DR, HARRISONBURG, VA 22802, (540) 432-9816, ξξ-ξξROCKINGHAM COUNTY, Private, PK,8,,
1433678, EASTERN MENNONITE HIGH SCHOOL, 801 PARKWOOD DR, HARRISONBURG, VA 22802, (540) 236-6002, ξξ-ξξHARRISONBURG COUNTY, Private, KG,12,,
A9106641, HICKORY HOLLOW CHRISTIAN SCHOOL, 2589 MUDDY CREEK RD, HARRISONBURG, VA 22802, (540) 879-9054, ξξ-ξξROCKINGHAM COUNTY, Private,1,12,,
A0792081, MINNICK EDUCATION CENTER - HARRISONBURG, 779 MASSANUTTEN AVE STE A, HARRISONBURG, VA 22802, (540) 437-1814, ξξ-ξξHARRISONBURG COUNTY, Private,2,12,,
2065168, VICTORY BAPTIST CHRISTIAN ACADEMY, 521 ALLEGHENY AVE, HARRISONBURG, VA 22802, (540) 434-7868, ξξ-ξξHARRISONBURG COUNTY, Private,2,12,,
510339001499, JOHN W. WAYLAND ELEM., 801 NORTH MAIN ST, BRIDGEWATER, VA 22812, (540) 828-6081, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
510339002164, TURNER ASHBY HIGH, 800 N MAIN ST, BRIDGEWATER, VA 22812, (540) 828-2008, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public,9,12,,
A9106579, BLUE RIDGE CHRISTIAN SCHOOL, PO BOX 207, BRIDGEWATER, VA 22812, (540) 828-2233, ξξ-ξξROCKINGHAM COUNTY, Private, PK,8,,
510339001492, BROADWAY HIGH, 269 GOBBLER DR, BROADWAY, VA 22815, (540) 896-7081, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public,9,12,,
510339001498, J. FRANK HILLYARD MIDDLE, 226 HAWKS HILL DR, BROADWAY, VA 22815, (540) 896-8961, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public,6,8,,
510339001869, JOHN C. MYERS ELEM., 290 RAIDER RD, BROADWAY, VA 22815, (540) 896-2297, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
A0903681, FAITH BAPTIST ACADEMY, 675 EARLY DR, BROADWAY, VA 22815, (540) 896-3864, ξξ-ξξROCKINGHAM COUNTY, Private,1,10,,
510339001975, MONTEVIDEO MIDDLE, 375 BOWMAN ROAD, DAYTON, VA 22821, (540) 289-3401, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public,6,8,,
510339001507, OTTOBINE ELEM., 8646 WAGGYS CREEK RD, DAYTON, VA 22821, (540) 879-2091, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
510339001511, WILBUR S. PENCE MIDDLE, 375 BOWMAN ROAD, DAYTON, VA 22821, (540) 879-2535, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public,6,8,,
A9106615, EDGEWOOD SCHOOL, PO BOX 533, DAYTON, VA 22821, (540) 879-9341, ξξ-ξξROCKINGHAM COUNTY, Private,1,8,,
A9106674, MOUNTAIN VIEW MENNONITE SCHOOL, PO BOX 533, DAYTON, VA 22821, (540) 879-2460, ξξ-ξξROCKINGHAM COUNTY, Private,1,8,,
A9106684, OAK LANE SCHOOL, PO BOX 533, DAYTON, VA 22821, (540) 879-9341, ξξ-ξξROCKINGHAM COUNTY, Private,1,8,,
2164136, RIVERSIDE SCHOOL, 2168 HINTON RD, DAYTON, VA 22821, (540) 867-9494, ξξ-ξξROCKINGHAM COUNTY, Private,1,8,,
A0792053, SPRING HILL SCHOOL, PO BOX 533, DAYTON, VA 22821, (540) 879-9341, ξξ-ξξROCKINGHAM COUNTY, Private,1,8,,
A0303253, VALLEY BAPTIST CHRISTIAN SCHOOL, 408 STONEY CREEK RD, EDINBURG, VA 22824, (540) 984-8665, ξξ-ξξSHENANDOAH COUNTY, Private, PK,12,,
510339002803, EAST ROCKINGHAM HIGH, 250 EAGLE ROCK ROAD, ELKTON, VA 22827, (540) 298-7450, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public,9,12,,
510339001494, ELKTON ELEM., 302 B STREET, ELKTON, VA 22827, (540) 298-1511, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
510339001495, ELKTON MIDDLE, 21063 BLUE AND GOLD DR, ELKTON, VA 22827, (540) 298-1228, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public,6,8,,
510339002804, RIVER BEND ELEM, 14556 ROCKINGHAM PIKE, ELKTON, VA 22827, (540) 298-5301, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
510339001496, FULKS RUN ELEM., 11089 BROCKS GAP RD, FULKS RUN, VA 22830, (540) 896-7635, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
510339001501, LINVILLE-EDOM ELEM., 3653 LINVILLE-EDOM RD, LINVILLE, VA 22834, (540) 833-6916, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
510285001179, LURAY ELEM, 555 FIRST ST, LURAY, VA 22835, (540) 743-4078, ξξ-ξξPAGE COUNTY COUNTY, Public, PK,5,,
510285001180, LURAY HIGH, 243 BULLDOG DRIVE, LURAY, VA 22835, (540) 743-3800, ξξ-ξξPAGE COUNTY COUNTY, Public,9,12,,
510285002799, LURAY MIDDLE, 14 LURAY AVENUE, LURAY, VA 22835, (540) 843-2660, ξξ-ξξPAGE COUNTY COUNTY, Public,6,8,,
510285000578, PAGE COUNTY TECHNICAL CTR., 525 MIDDLEBURG RD, LURAY, VA 22835, (540) 778-7282, ξξ-ξξPAGE COUNTY COUNTY, Public,9,12,,
2064878, MT CARMEL CHRISTIAN ACADEMY, PO BOX 31, LURAY, VA 22835, (540) 743-9558, ξξ-ξξPAGE COUNTY, Private, PK,12,,
510339001503, MCGAHEYSVILLE ELEM., 9508 SPOTSWOOD TRAIL, MCGAHEYSVILLE, VA 22840, (540) 289-3004, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
510010902698, MASSANUTTEN GOV. SCH./INTEGRATED ENVIRON. SCI., 6375 SOUTH MAIN STREET, MT. JACKSON, VA 22842, (540) 477-3226, ξξ-ξξSHENANDOAH COUNTY COUNTY, Public, N ,N ,,
510351001552, TRIPLETT BUSINESS & TECH.6375,  S MAIN ST, MOUNT JACKSON, VA 22842, (540) 477-3161, ξξ-ξξSHENANDOAH COUNTY COUNTY, Public,9,12,,
510030000127, NORTH RIVER ELEM, 3395 SCENIC HWY, MOUNT SOLON, VA 22843, (540) 350-2463, ξξ-ξξAUGUSTA COUNTY COUNTY, Public, PK,5,,
1435234, SHENANDOAH VALLEY ACADEMY, 234 W LEE HWY, NEW MARKET, VA 22844, (540) 740-3161, ξξ-ξξSHENANDOAH COUNTY, Private,9,12,,
1434988, SHENANDOAH VALLEY ADVENTIST ELEMENTARY SCHOOL, 115 BINDERY RD, NEW MARKET, VA 22844, (540) 740-8237, ξξ-ξξSHENANDOAH COUNTY, Private, PK,8,,
510339002782, CUB RUN ELEM, 1451 SOUTH MONTEVIDEO CIRCLE, PENN LAIRD, VA 22846, (540) 289-5854, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
510339002310, PEAK VIEW ELEM., 641 LAWYER RD., PENN LAIRD, VA 22846, (540) 289-7510, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
510339001872, SPOTSWOOD HIGH, 368 BLAZER DRIVE, PENN LAIRD, VA 22846, (540) 289-3100, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public,9,12,,
510351001542, ASHBY LEE ELEM., 480 STONEWALL LANE, QUICKSBURG, VA 22847, (540) 477-2927, ξξ-ξξSHENANDOAH COUNTY COUNTY, Public, PK,5,,
510351000581, NORTH FORK MIDDLE, 1018 CAVERNS ROAD, QUICKSBURG, VA 22847, (540) 477-2953, ξξ-ξξSHENANDOAH COUNTY COUNTY, Public,6,8,,
510351001548, STONEWALL JACKSON HIGH, 150 STONEWALL LN, QUICKSBURG, VA 22847, (540) 477-2732, ξξ-ξξSHENANDOAH COUNTY COUNTY, Public,9,12,,
510285001181, PAGE COUNTY HIGH, 184 PANTHER DRIVE, SHENANDOAH, VA 22849, (540) 652-8712, ξξ-ξξPAGE COUNTY COUNTY, Public,9,12,,
510285002801, PAGE COUNTY MIDDLE, 198 PANTHER DRIVE, SHENANDOAH, VA 22849, (540) 652-3400, ξξ-ξξPAGE COUNTY COUNTY, Public,6,8,,
510285001182, SHENANDOAH ELEM, 529 4TH STREET, SHENANDOAH, VA 22849, (540) 652-8621, ξξ-ξξPAGE COUNTY COUNTY, Public, PK,5,,
510285001184, STANLEY ELEM, 306 AYLOR GRUBBS AVE, STANLEY, VA 22851, (540) 778-2612, ξξ-ξξPAGE COUNTY COUNTY, Public, PK,5,,
1435245, STANLEY SEVENTH-DAY ADVENTIST SCHOOL, 118 CHURCH AVE, STANLEY, VA 22851, (540) 778-3377, ξξ-ξξPAGE COUNTY, Private, KG,7,,
510339001508, PLAINS ELEM., 225 AMERICAN LEGION DR, TIMBERVILLE, VA 22853, (540) 896-8956, ξξ-ξξROCKINGHAM COUNTY COUNTY, Public, PK,5,,
510009000002, AGNOR-HURT ELEM, 3201 BERKMAR DRIVE, CHARLOTTESVILLE, VA 22901, (434) 973-5211, ξξ-ξξALBEMARLE COUNTY COUNTY, Public, PK,5,,
510009000015, ALBEMARLE HIGH, 2775 HYDRAULIC ROAD, CHARLOTTESVILLE, VA 22901, (434) 975-9300, ξξ-ξξALBEMARLE COUNTY COUNTY, Public,9,12,,
510078000272, BURNLEY-MORAN ELEM, 1300 LONG STREET, CHARLOTTESVILLE, VA 22901, (434) 245-2413, ξξ-ξξCHARLOTTESVILLE CITY COUNTY, Public, PK,4,,
510078000273, CHARLOTTESVILLE HIGH, 1400 MELBOURNE ROAD, CHARLOTTESVILLE, VA 22901, (434) 245-2410, ξξ-ξξCHARLOTTESVILLE CITY COUNTY, Public,9,12,,
510000302015, CHARLOTTESVILLE-ALBEMARLE TECH, 1000 EAST RIO RD, CHARLOTTESVILLE, VA 22901, (434) 973-4461, ξξ-ξξALBEMARLE COUNTY COUNTY, Public,9,12,,
510078000275, GREENBRIER ELEM, 2228 GREENBRIER DRIVE, CHARLOTTESVILLE, VA 22901, (434) 245-2415, ξξ-ξξCHARLOTTESVILLE CITY COUNTY, Public, PK,4,,
510009000023, JACK JOUETT MIDDLE, 210 LAMBS LANE, CHARLOTTESVILLE, VA 22901, (434) 975-9320, ξξ-ξξALBEMARLE COUNTY COUNTY, Public,6,8,,
510009000027, MARY CARR GREER ELEM, 190 LAMBS LANE, CHARLOTTESVILLE, VA 22901, (434) 973-8371, ξξ-ξξALBEMARLE COUNTY COUNTY, Public, PK,5,,
510009000028, MERIWETHER LEWIS ELEM, 1610 OWENSVILLE ROAD, CHARLOTTESVILLE, VA 22901, (434) 293-9304, ξξ-ξξALBEMARLE COUNTY COUNTY, Public, PK,5,,
510001802090, PIEDMONT REG ED/IVY CREEK, 227 LAMBS LANE, CHARLOTTESVILLE, VA 22901, (434) 975-9420, ξξ-ξξALBEMARLE COUNTY COUNTY, Public, N ,N ,,
