360008005528, HARLEM VILLAGE ACADEMY CHARTER SCHOOL EHVACS, 15 PENN PLAZA #15, NEW YORK, NY 10001, (646) 812-9399, ξξ-ξξNEW YORK COUNTY COUNTY, Public,5,12,,
360008805559, GLOBAL ENTERPRISE HIGH SCHOOL, 925 ASTOR AVE, BRONX, NY 10469, (718) 944-3548, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360008802524, JHS 144 MICHELANGELO, 2545 GUNTHER AVE, BRONX, NY 10469, (718) 379-7400, ξξ-ξξBRONX COUNTY COUNTY, Public,6,8,,
360008805541, PELHAM PREPARATORY ACADEMY, 925 ASTOR AVE, BRONX, NY 10469, (718) 944-3401, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360008802450, PS 121 THROOP, 2750 THROOP AVE, BRONX, NY 10469, (718) 654-2055, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360008802306, PS 76 THE BENNINGTON SCHOOL, 900 ADEE AVE, BRONX, NY 10469, (718) 882-8865, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,5,,
360008802312, PS 78 ANNE HUTCHINSON, 1400 NEEDHAM AVE, BRONX, NY 10469, (718) 652-1244, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,5,,
360008802342, PS 89, 980 MACE AVE, BRONX, NY 10469, (718) 653-0835, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,8,,
360008802368, PS 97, 1375 MACE AVE, BRONX, NY 10469, (718) 655-4446, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
A0502454, EAST MEADOW SCHOOL, 3101 EASTCHESTER RD, BRONX, NY 10469, (718) 379-4483, ξξ-ξξBRONX COUNTY, Private, PK,KG,,
A0302248, LAVELLE SCHOOL FOR THE BLIND, 3830 PAULDING AVE, BRONX, NY 10469, (718) 882-1212, ξξ-ξξBRONX COUNTY, Private, Ungraded,Ungraded,,
A9104949, NEW COVENANT CHRISTIAN SCHOOL, 1497 NEEDHAM AVE, BRONX, NY 10469, (718) 519-8884, ξξ-ξξBRONX COUNTY, Private, PK,5,,
940918, NEW YORK INSTITUTE FOR SPECIAL EDUCATION, 999 PELHAM PKWY N, BRONX, NY 10469, (718) 519-7000, ξξ-ξξBRONX COUNTY, Private, PK,12,,
922513, SS PHILIP & JAMES SCHOOL1160,  E 213TH ST, BRONX, NY 10469, (718) 882-4576, ξξ-ξξBRONX COUNTY, Private, PK,8,,
919373, ST CATHARINE ACADEMY, 2250 WILLIAMSBRIDGE RD, BRONX, NY 10469, (718) 882-2882, ξξ-ξξBRONX COUNTY, Private,9,12,,
360008802092, PS 16 WAKEFIELD, 4550 CARPENTER AVE, BRONX, NY 10470, (718) 324-1262, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360008802100, PS 19 JUDITH K WEISS, 4318 KATONAH AVE, BRONX, NY 10470, (718) 324-1924, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,8,,
922182, ST BARNABAS ELEMENTARY SCHOOL, 413 E 241ST ST, BRONX, NY 10470, (718) 324-1088, ξξ-ξξBRONX COUNTY, Private, PK,8,,
922171, ST BARNABAS HIGH SCHOOL, 425 E 240TH ST, BRONX, NY 10470, (718) 325-8800, ξξ-ξξBRONX COUNTY, Private,9,12,,
921881, STS ANTHONY & FRANCES SCHOOL4520,  MATILDA AVE, BRONX, NY 10470, (718) 324-5104, ξξ-ξξBRONX COUNTY, Private, PK,8,,
360008702318, PS 81 ROBERT J CHRISTEN, 5550 RIVERDALE AVE, BRONX, NY 10471, (718) 796-8965, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,5,,
AA890650, ETHICAL CULTURE FIELDSTON LOWER, 3901 FIELDSTON RD, BRONX, NY 10471, (718) 329-7259, ξξ-ξξBRONX COUNTY, Private, PK,5,,
A9300660, ETHICAL CULTURE FIELDSTON MIDDLE & UPPER3901,  FIELDSTON RD, BRONX, NY 10471, (718) 329-7300, ξξ-ξξBRONX COUNTY, Private,6,12,,
1657789, HORACE MANN SCHOOL, 231 W 246TH ST, BRONX, NY 10471, (718) 432-3851, ξξ-ξξBRONX COUNTY, Private, PK,12,,
937621, SAR ACADEMY, 655 W 254TH ST, BRONX, NY 10471, (718) 548-1717, ξξ-ξξBRONX COUNTY, Private, PK,8,,
A0502542, SAR HIGH SCHOOL, 5900 NETHERLAND AVE, BRONX, NY 10471, (718) 548-2727, ξξ-ξξBRONX COUNTY, Private,9,12,,
922681, ST MARGARET OF CORTONA SCHOOL, 452 W 260TH ST, BRONX, NY 10471, (718) 549-8580, ξξ-ξξBRONX COUNTY, Private, PK,8,,
AA001686, YESHIVA OF THE TELSHE ALUMNI, 4904 INDEPENDENCE AVE, BRONX, NY 10471, (718) 601-3523, ξξ-ξξBRONX COUNTY, Private,9,12,,
A0108089, YESHIVA OHAVEI TORAH OF RIVERDALE, 450 W 250TH ST, BRONX, NY 10471, (718) 432-2600, ξξ-ξξBRONX COUNTY, Private,9,12,,
360009001315, BRONX COALITION COMMUNITY HIGH SCHOOL, 1300 BOYNTON AVE, BRONX, NY 10472, (718) 860-8200, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360009001767, HIGH SCHOOL OF WORLD CULTURES, 1300 BOYNTON AVE-4TH FL, BRONX, NY 10472, (718) 860-8120, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360008502456, JHS 123 JAMES M KIERNAN, 1025 MORRISON AVE, BRONX, NY 10472, (718) 328-2105, ξξ-ξξBRONX COUNTY COUNTY, Public,6,8,,
360008502463, JHS 125 HENRY HUDSON, 1111 PUGSLEY AVE, BRONX, NY 10472, (718) 822-5186, ξξ-ξξBRONX COUNTY COUNTY, Public,6,8,,
360009001339, MONROE ACADEMY FOR BUSINESS/LAW, 1300 BOYNTON AVE, BRONX, NY 10472, (718) 860-8140, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360009001341, MONROE ACADEMY FOR VISUAL ARTS & DESIGN1300,  BOYNTON AVE, BRONX, NY 10472, (718) 860-8160, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360009005805, MOTT HALL V, 1551 E 172ND ST, BRONX, NY 10472, (718) 620-8160, ξξ-ξξBRONX COUNTY COUNTY, Public,6,9,,
360009006030, PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE, 1300 BOYNTON AVE, BRONX, NY 10472, (718) 991-7238, ξξ-ξξBRONX COUNTY COUNTY, Public,9,11,,
360008502441, PS 119, 1075 PUGSLEY AVE, BRONX, NY 10472, (718) 822-5198, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360008502547, PS 152 EVERGREEN, 1007 EVERGREEN AVE, BRONX, NY 10472, (718) 589-4560, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360009003353, PS 195, 1250 WARD AVE, BRONX, NY 10472, (718) 861-4461, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360009003369, PS 196, 1250 WARD AVE, BRONX, NY 10472, (718) 328-7187, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360008502168, PS 36 UNIONPORT, 1070 CASTLE HILL AVE, BRONX, NY 10472, (718) 822-5345, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360009002209, PS 47 JOHN RANDOLPH, 1794 E 172ND ST, BRONX, NY 10472, (718) 824-0950, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,5,,
360008505657, SCHOOL FOR INQUIRY AND SOCIAL JUSTICE, 1025 MORRISON AVE, BRONX, NY 10472, (718) 860-4181, ξξ-ξξBRONX COUNTY COUNTY, Public,6,8,,
360009006160, THE CINEMA SCHOOL, 1551 E 172ND ST, BRONX, NY 10472, (718) 620-2560, ξξ-ξξBRONX COUNTY COUNTY, Public,9,10,,
922648, BLESSED SACRAMENT SCHOOL, 1160 BEACH AVE, BRONX, NY 10472, (718) 892-0433, ξξ-ξξBRONX COUNTY, Private, PK,8,,
921473, HOLY FAMILY SCHOOL, 2169 BLACKROCK AVE, BRONX, NY 10472, (718) 863-7280, ξξ-ξξBRONX COUNTY, Private, PK,8,,
360008505984, ANTONIA PANTOJA PREPERATORY ACADEMY, 1980 LAFAYETTE AVE, BRONX, NY 10473, (718) 824-3152, ξξ-ξξBRONX COUNTY COUNTY, Public,6,9,,
360008505985, ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOG, 456 WHITE PLAINS RD, BRONX, NY 10473, (718) 617-5046, ξξ-ξξBRONX COUNTY COUNTY, Public,6,9,
360008506221, BRONX BRIDGES HIGH SCHOOL, 1980 LAFAYETTE AVE, BRONX, NY 10473, (718) 935-4488, ξξ-ξξBRONX COUNTY COUNTY, Public,9,9,,
360008505983, BRONX COMMUNITY HIGH SCHOOL, 1980 LAFAYETTE AVE, BRONX, NY 10473, (718) 892-1026, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360008505186, BRONX GUILD HIGH SCHOOL, 1980 LAFAYETTE AVE, BRONX, NY 10473, (718) 597-1587, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360008505789, FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB, 1440 STORY AVE, BRONX, NY 10473, (718) 860-5110, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360008505660, GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH, 1980 LAFAYETTE AVE, BRONX, NY 10473, (718) 824-9327, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360094305973, ICAHN CHARTER SCHOOL 2, 1535 STORY AVE-2ND FL, BRONX, NY 10473, (718) 861-4606, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,5,,
360008501979, JHS 131 ALBERT EINSTEIN, 885 BOLTON AVE, BRONX, NY 10473, (718) 991-7490, ξξ-ξξBRONX COUNTY COUNTY, Public,6,8,,
360102506233, METROPOLITAN LIGHTHOUSE CHARTER SCHOOL, 1535 STORY AVE, 2ND FL, BRONX, NY 10473, (646) 915-0025, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,2,
360008505654, MILLENIUM ART ACADEMY, 1980 LAFAYETTE AVE, BRONX, NY 10473, (718) 824-0978, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360008505661, PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST, 1980 LAFAYETTE AVE, BRONX, NY 10473, (718) 824-1682, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360008502380, PS 100 ISAAC CLASON, 800 TAYLOR AVE, BRONX, NY 10473, (718) 842-1461, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360008502401, PS 107, 1695 SEWARD AVE, BRONX, NY 10473, (718) 860-2596, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360008502505, PS 138 SAMUEL RANDALL, 2060 LAFAYETTE AVE, BRONX, NY 10473, (718) 822-5325, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360008502632, PS 182, 601 STICKBALL BLVD, BRONX, NY 10473, (718) 828-6607, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360008502285, PS 69 THE NEW VISIONS SCHOOL, 560 THERIOT AVE, BRONX, NY 10473, (718) 378-4736, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360008502354, PS 93 ALBERT G OLIVER, 1535 STORY AVE, BRONX, NY 10473, (718) 842-2655, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360008505507, SCHOOL FOR COMMUNITY RESEARCH AND LEARNING, 1980 LAFAYETTE AVE, BRONX, NY 10473, (718) 892-2054, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360008506156, SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP, 885 BOLTON AVE, BRONX, NY 10473, (718) 991-4027, ξξ-ξξBRONX COUNTY COUNTY, Public,6,7,,
360008505986, THE BRONX MATHEMATICS PREPARATORY SCHOOL, 456 WHITE PLAINS RD, BRONX, NY 10473, (718) 542-5063, ξξ-ξξBRONX COUNTY COUNTY, Public,6,8,,
360008505653, WOMEN'S ACADEMY OF EXCELLENCE, 456 WHITE PLAINS RD-3RD FL, BRONX, NY 10473, (718) 542-0740, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
920094, HOLY CROSS ELEMENTARY SCHOOL, 1846 RANDALL AVE, BRONX, NY 10473, (718) 842-4492, ξξ-ξξBRONX COUNTY, Private, PK,8,,
922499, ST JOHN VIANNEY CURE OF ARS SCHOOL, 2141 SEWARD AVE, BRONX, NY 10473, (718) 892-4400, ξξ-ξξBRONX COUNTY, Private, PK,8,,
360006304875, BRONX CHARTER SCHOOL FOR THE ARTS, 950 LONGFELLOW AVE, BRONX, NY 10474, (718) 893-1042, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,6,,
360016505889, HYDE LEADERSHIP CHARTER SCHOOL, 730 BRYANT AVE, BRONX, NY 10474, (718) 991-5500, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,10,,
360008502211, PS 48 JOSEPH R DRAKE, 1290 SPOFFORD AVE, BRONX, NY 10474, (718) 589-4312, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360008506081, THE HUNTS POINT SCHOOL, 730 BRYANT AVE, BRONX, NY 10474, (718) 328-1972, ξξ-ξξBRONX COUNTY COUNTY, Public,6,9,,
360013505853, VIDA BOGART SCHOOL FOR ALL CHILDREN, 730 BRYANT AVE, BRONX, NY 10474, (718) 542-1537, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,8,,
A9702478, ST IGNATIUS ACADEMY, 740 MANIDA ST, BRONX, NY 10474, (718) 861-9084, ξξ-ξξBRONX COUNTY, Private,6,8,,
360008805680, BRONX HEALTH SCIENCES HIGH SCHOOL, 750 BAYCHESTER AVE, BRONX, NY 10475, (718) 862-4406, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360008805971, CORNERSTONE ACADEMY FOR SOCIAL ACTION, 3441 STEENWICK AVE, BRONX, NY 10475, (718) 794-6160, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,5,,
360008806107, CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO, 3441 STEENWICK AVE, BRONX, NY 10475, (718) 794-7970, ξξ-ξξBRONX COUNTY COUNTY, Public,6,8,,
360100506110, EQUALITY CHARTER SCHOOL, 4140 HUTCHINSON RIVER PKWY E, BRONX, NY 10475, (718) 320-3032, ξξ-ξξBRONX COUNTY COUNTY, Public,6,8,,
360008801963, HARRY S TRUMAN HIGH SCHOOL, 750 BAYCHESTER AVE, BRONX, NY 10475, (718) 904-5400, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360008801989, IS 181 PABLO CASALS, 800 BAYCHESTER AVE, BRONX, NY 10475, (718) 904-5600, ξξ-ξξBRONX COUNTY COUNTY, Public,6,8,,
360008802628, MS 180 DR DANIEL HALE WILLIAMS, 700 BAYCHESTER AVE, BRONX, NY 10475, (718) 904-5650, ξξ-ξξBRONX COUNTY COUNTY, Public,6,8,,
360009005682, PERFORMANCE CONSERVATORY HIGH SCHOOL, 1619 BOSTON RD, BRONX, NY 10475, (718) 991-0860, ξξ-ξξBRONX COUNTY COUNTY, Public,9,12,,
360008802553, PS 153 HELEN KELLER, 650 BAYCHESTER AVE, BRONX, NY 10475, (718) 904-5550, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,5,,
360008802573, PS 160 WALT DISNEY, 4140 HUTCHNSN RVR PKWY E, BRONX, NY 10475, (718) 379-5951, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,5,,
360013504521, PS 176, 850 BAYCHESTER AVE, BRONX, NY 10475, (718) 904-5750, ξξ-ξξBRONX COUNTY COUNTY, Public, PK,11,,
360008800158, PS 178 DR SELMAN WAKSMAN, 850 BAYCHESTER AVE, BRONX, NY 10475, (718) 904-5570, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,5,,
360013500554, SCHOOL 723, 3540 BIVONA ST, BRONX, NY 10475, (718) 320-1222, ξξ-ξξBRONX COUNTY COUNTY, Public, KG,12,,
360318000080, ARDSLEY HIGH SCHOOL, 300 FARM RD, ARDSLEY, NY 10502, (914) 693-6318, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,9,12,,
360318000081, ARDSLEY MIDDLE SCHOOL, 700 ASHFORD AVE, ARDSLEY, NY 10502, (914) 693-7564, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,5,8,,
360318000082, CONCORD ROAD ELEMENTARY SCHOOL, CONCORD RD, ARDSLEY, NY 10502, (914) 693-7510, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,4,,
A0990088, LYCEUM KENNEDY, ONE CROSS RD, ARDSLEY, NY 10502, (914) 479-0722, ξξ-ξξWESTCHESTER COUNTY, Private, PK,5,,
360606000389, BYRAM HILLS HIGH SCHOOL, 12 TRIPP LN, ARMONK, NY 10504, (914) 273-9200, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,9,12,,
360606000390, COMAN HILL SCHOOL, 558 BEDFORD RD, ARMONK, NY 10504, (914) 273-4183, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,2,,
360606000391, H C CRITTENDEN MIDDLE SCHOOL, 10 MACDONALD AVE, ARMONK, NY 10504, (914) 273-4250, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,6,8,,
360606000392, WAMPUS SCHOOL, 41 WAMPUS AVE, ARMONK, NY 10504, (914) 273-4190, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,3,5,,
A0107664, LITTLE SPARROWS NURSERY SCHOOL & KINDERGARTEN448 , BEDFORD RD, ARMONK, NY 10504, (914) 273-9760, ξξ-ξξWESTCHESTER COUNTY, Private, PK,KG,,
2048663, MONTESSORI CHILDRENS ROOM, 67 OLD ROUTE 22, ARMONK, NY 10504, (914) 273-3291, ξξ-ξξWESTCHESTER COUNTY, Private, PK,1,,
361995004831, BEDFORD VILLAGE ELEMENTARY SCHOOL, PO BOX 173, BEDFORD, NY 10506, (914) 234-4178, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,5,,
361995001822, FOX LANE HIGH SCHOOL, PO BOX 390, BEDFORD, NY 10506, (914) 241-6085, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,9,12,,
361995001823, FOX LANE MIDDLE SCHOOL, PO BOX 298, BEDFORD, NY 10506, (914) 241-6144, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,6,8,,
2048594, RIPPOWAM CISQUA SCHOOL, PO BOX 488, BEDFORD, NY 10506, (914) 244-1250, ξξ-ξξWESTCHESTER COUNTY, Private, PK,9,,
921688, ST PATRICK'S SCHOOL, 483 OLD POST RD, BEDFORD, NY 10506, (914) 234-7914, ξξ-ξξWESTCHESTER COUNTY, Private, PK,8,,
361995001820, BEDFORD HILLS ELEMENTARY SCHOOL, 123 BABBITT RD, BEDFORD HILLS, NY 10507, (914) 666-2708, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,5,,
361995001826, WEST PATENT ELEMENTARY SCHOOL, W PATENT RD, BEDFORD HILLS, NY 10507, (914) 666-2190, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,5,,
360531000264, BREWSTER HIGH SCHOOL, 50 FOGGINTOWN RD, BREWSTER, NY 10509, (845) 279-5051, ξξ-ξξPUTNAM COUNTY COUNTY, Public,9,12,,
360531003400, C V STARR INTERMEDIATE SCHOOL, 20 FARM-TO-MARKET RD, BREWSTER, NY 10509, (845) 279-4018, ξξ-ξξPUTNAM COUNTY COUNTY, Public,4,5,,
360531000265, GARDEN STREET SCHOOL, 20 GARDEN ST, BREWSTER, NY 10509, (845) 279-5091, ξξ-ξξPUTNAM COUNTY COUNTY, Public, KG,3,,
360531000266, HENRY H WELLS MIDDLE SCHOOL, 570 RT 312, BREWSTER, NY 10509, (845) 279-3702, ξξ-ξξPUTNAM COUNTY COUNTY, Public,6,8,,
360531000267, JOHN F KENNEDY ELEMENTARY SCHOOL, 31 FOGGINTOWN RD, BREWSTER, NY 10509, (845) 279-2087, ξξ-ξξPUTNAM COUNTY COUNTY, Public, KG,3,,
A0507951, CREATIVE KIDS CHILDCARE CENTER, 1515 ROUTE 22, BREWSTER, NY 10509, (845) 279-9100, ξξ-ξξPUTNAM COUNTY, Private, PK,KG,,
938807, GREEN CHIMNEYS SCHOOL, 400 DOANSBURG RD, BREWSTER, NY 10509, (845) 279-2995, ξξ-ξξPUTNAM COUNTY, Private, PK,12,,
935395, MELROSE SCHOOL, 120 FEDERAL HILL RD, BREWSTER, NY 10509, (845) 279-2406, ξξ-ξξPUTNAM COUNTY, Private, PK,8,,
360534000268, BRIARCLIFF HIGH SCHOOL, 444 PLEASANTVILLE RD, BRIARCLIFF MANOR, NY 10510, (914) 769-6299, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,9,12,,
360534002762, BRIARCLIFF MIDDLE SCHOOL, 444 PLEASANTVILLE RD, BRIARCLIFF MANOR, NY 10510, (914) 769-6343, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,6,8,,
360534000270, TODD ELEMENTARY SCHOOL, 45 INGHAM RD, BRIARCLIFF MANOR, NY 10510, (914) 941-8300, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,5,,
936526, CLEARVIEW SCHOOL DAY TREATMENT, 480 ALBANY POST RD, BRIARCLIFF MANOR, NY 10510, (914) 941-9513, ξξ-ξξWESTCHESTER COUNTY, Private, PK,KG,,
361419001162, BUCHANAN-VERPLANCK ELEMENTARY SCHOOL, 160 WESTCHESTER AVE, BUCHANAN, NY 10511, (914) 257-5400, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,5,,
360657000438, CARMEL HIGH SCHOOL, 30 FAIR ST, CARMEL, NY 10512, (845) 225-8441, ξξ-ξξPUTNAM COUNTY COUNTY, Public,9,12,,
360657000439, GEORGE FISCHER MIDDLE SCHOOL, 281 FAIR ST, CARMEL, NY 10512, (845) 228-2300, ξξ-ξξPUTNAM COUNTY COUNTY, Public,5,8,,
360657000440, KENT ELEMENTARY SCHOOL, 1091 RT 52, CARMEL, NY 10512, (845) 225-5029, ξξ-ξξPUTNAM COUNTY COUNTY, Public, KG,4,,
360657000441, KENT PRIMARY SCHOOL, 1065 RT 52, CARMEL, NY 10512, (845) 225-5025, ξξ-ξξPUTNAM COUNTY COUNTY, Public, KG,4,,
922998, ST JAMES THE APOSTLE SCHOOL, 12 GLENEIDA AVE, CARMEL, NY 10512, (845) 225-9365, ξξ-ξξPUTNAM COUNTY, Private, PK,8,,
360699000487, DOUGLAS G GRAFFLIN SCHOOL, 650 KING ST, CHAPPAQUA, NY 10514, (914) 238-5560, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,4,,
360699000488, HORACE GREELEY HIGH SCHOOL, 70 ROARING BROOK RD, CHAPPAQUA, NY 10514, (914) 861-9400, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,9,12,,
360699000489, ROARING BROOK SCHOOL, 530 QUAKER RD, CHAPPAQUA, NY 10514, (914) 238-6156, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,4,,
360699000490, ROBERT E BELL SCHOOL, 50 SENTER ST, CHAPPAQUA, NY 10514, (914) 238-6170, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,5,8,,
360699005571, SEVEN BRIDGES MIDDLE SCHOOL, 222 SEVEN BRIDGES RD, CHAPPAQUA, NY 10514, (914) 666-7330, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,5,8,,
360699000491, WESTORCHARD SCHOOL, 25 GRANITE RD, CHAPPAQUA, NY 10514, (914) 238-6250, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,4,,
A0108065, WORLD CUP NURSERY SCHOOL & KINDERGARTEN160 , HUNTS LN, CHAPPAQUA, NY 10514, (914) 238-9267, ξξ-ξξWESTCHESTER COUNTY, Private, PK,KG,,
361323001078, HALDANE ELEMENTARY/MIDDLE SCHOOL, 15 CRAIGSIDE DR, COLD SPRING, NY 10516, (845) 265-9254, ξξ-ξξPUTNAM COUNTY COUNTY, Public, KG,8,,
361323001079, HALDANE HIGH SCHOOL, 15 CRAIGSIDE DR, COLD SPRING, NY 10516, (845) 265-9254, ξξ-ξξPUTNAM COUNTY COUNTY, Public,9,12,,
361662001476, LINCOLN TITUS ELEMENTARY SCHOOL, 10 LINCOLN AVE, CROMPOND, NY 10517, (914) 528-2519, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,5,,
A0701710, THE GARDEN ROAD SCHOOL, PO BOX 300, CROMPOND, NY 10517, (914) 526-4033, ξξ-ξξWESTCHESTER COUNTY, Private, PK,3,,
922706, ST JOSEPH S SCHOOL, PO BOX 719, CROTON FALLS, NY 10519, (914) 277-3783, ξξ-ξξWESTCHESTER COUNTY, Private, PK,8,,
360858000658, CARRIE E TOMPKINS SCHOOL, 8 GERSTEIN ST, CROTON ON HUDSON, NY 10520, (914) 271-5184, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,4,,
360858000659, CROTON-HARMON HIGH SCHOOL, 36 OLD POST RD S, CROTON ON HUDSON, NY 10520, (914) 271-2147, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,9,12,,
360858000660, PIERRE VAN CORTLANDT SCHOOL, 3 GLEN PLACE, CROTON-ON-HUDSON, NY 10520, (914) 271-2191, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,5,8,,
A9502942, CROTON MONTESSORI SCHOOL, PO BOX 84, CROTON ON HUDSON, NY 10520, (914) 271-4503, ξξ-ξξWESTCHESTER COUNTY, Private, Ungraded,Ungraded,,
A0902306, HOLY NAME OF MARY MONTESSORI SCHOOL, 110 GRAND ST, CROTON ON HUDSON, NY 10520, (914) 271-5182, ξξ-ξξWESTCHESTER COUNTY, Private, PK,KG,,
362798005843, CLARK ACADEMY, 71 S BROADWAY, DOBBS FERRY, NY 10522, (914) 798-7200, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,7,12,,
360912000702, DOBBS FERRY HIGH SCHOOL, 505 BROADWAY, DOBBS FERRY, NY 10522, (914) 693-7645, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,9,12,,
360912004681, DOBBS FERRY MIDDLE SCHOOL, 505 BROADWAY, DOBBS FERRY, NY 10522, (914) 693-7640, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,6,8,,
361014000343, GREENBURGH ELEVEN ELEMENTARY SCHOOL, PO BOX 501, DOBBS FERRY, NY 10522, (914) 693-8500, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,6,,
361014000387, GREENBURGH ELEVEN HIGH SCHOOL, PO BOX 501, DOBBS FERRY, NY 10522, (914) 693-8500, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,9,12,,
361014000454, GREENBURGH ELEVEN MIDDLE SCHOOL, PO BOX 501, DOBBS FERRY, NY 10522, (914) 693-8500, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public,7,8,,
360912000703, SPRINGHURST ELEMENTARY SCHOOL, WALGROVE AVE, DOBBS FERRY, NY 10522, (914) 693-1503, ξξ-ξξWESTCHESTER COUNTY COUNTY, Public, KG,5,,
A0902247, ALCOTT SCHOOL, 535 BROADWAY, DOBBS FERRY, NY 10522, (914) 693-4443, ξξ-ξξWESTCHESTER COUNTY, Private, PK,1,,
922331, OUR LADY OF VICTORY ACADEMY, 565 BROADWAY, DOBBS FERRY, NY 10522, (914) 693-1633, ξξ-ξξWESTCHESTER COUNTY, Private,9,12,,
