190309000006, ADAIR-CASEY ELEMENTARY SCHOOL, 3384 INDIGO AVE., ADAIR, IA 50002, (641) 746-2242, Î¾Î¾-Î¾Î¾GUTHRIE COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
551095001431, ABRAMS ELEMENTARY, 3000 ELM ST, ABRAMS, WI 54101, (920) 826-5819, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
A0903881, VICTORY ACADEMY FOR BOYS, W4705 WALLACE RD, AMBERG, WI 54102, (715) 759-5976, ŒæŒæ-ŒæŒæMARINETTE COUNTY, Private,7,10,,,,,,,,,,,,,,,,,,,
551353001769, BLACK CREEK ELEMENTARY, PO BOX 237, BLACK CREEK, WI 54106, (920) 984-3396, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public, PK,8,,,,,,,,,,,,,,,,,,,
550147000188, BONDUEL ELEMENTARY, PO BOX 310, BONDUEL, WI 54107, (715) 758-4810, ŒæŒæ-ŒæŒæSHAWANO COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
550147000189, BONDUEL HIGH, PO BOX 310, BONDUEL, WI 54107, (715) 758-4850, ŒæŒæ-ŒæŒæSHAWANO COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550147002383, BONDUEL MIDDLE, PO BOX 310, BONDUEL, WI 54107, (715) 758-4840, ŒæŒæ-ŒæŒæSHAWANO COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
A9106902, DEER VIEW SCHOOL, N3890 VALLEY RD, BONDUEL, WI 54107, (715) 758-6270, ŒæŒæ-ŒæŒæSHAWANO COUNTY, Private,1,8,,,,,,,,,,,,,,,,,,,
A0903862, OAKVIEW AMISH SCHOOL, N5467 OAKCREST DR, BONDUEL, WI 54107, (715) 745-2060, ŒæŒæ-ŒæŒæSHAWANO COUNTY, Private, ,1,,,,,,,,,,,,,,,,,,,
1511513, ST PAUL LUTHERAN SCHOOL, PO BOX 577, BONDUEL, WI 54107, (715) 758-8532, ŒæŒæ-ŒæŒæSHAWANO COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
550168000206, BRILLION ELEMENTARY, 315 S MAIN ST, BRILLION, WI 54110, (920) 756-3624, ŒæŒæ-ŒæŒæCALUMET COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
550168000207, BRILLION HIGH, W1101 COUNTY RD HR, BRILLION, WI 54110, (920) 756-9238, ŒæŒæ-ŒæŒæCALUMET COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550168002384, BRILLION MIDDLE, 315 S MAIN ST, BRILLION, WI 54110, (920) 756-2166, ŒæŒæ-ŒæŒæCALUMET COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
1508996, HOLY FAMILY SCHOOL, 209 N CUSTER ST, BRILLION, WI 54110, (920) 756-2502, ŒæŒæ-ŒæŒæCALUMET COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
1512288, TRINITY EVANGELICAL LUTHERAN SCHOOL, 601 E NATIONAL AVE, BRILLION, WI 54110, (920) 756-3738, ŒæŒæ-ŒæŒæCALUMET COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
A0903884, WOLF RIVER LUTHERAN HIGH SCHOOL, PO BOX 77, CECIL, WI 54111, (715) 745-2400, ŒæŒæ-ŒæŒæSHAWANO COUNTY, Private,9,12,,,,,,,,,,,,,,,,,,,
550276000313, COLEMAN ELEMENTARY, 347 BUSINESS 141 N, COLEMAN, WI 54112, (920) 897-2525, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
550276000314, COLEMAN HIGH, 343 BUSINESS 141 N, COLEMAN, WI 54112, (920) 897-2291, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550276002847, COLEMAN MIDDLE, 347 BUSINESS 141 N, COLEMAN, WI 54112, (920) 897-2525, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
1513973, FAITH CHRISTIAN SCHOOL, 233 W MAIN ST, COLEMAN, WI 54112, (920) 897-3380, ŒæŒæ-ŒæŒæMARINETTE COUNTY, Private, PK,12,,,,,,,,,,,,,,,,,,,
550747000847, JANSSEN ELEMENTARY, 420 WALLACE ST, COMBINED LOCKS, WI 54113, (920) 788-7915, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
550297000329, CRIVITZ ELEMENTARY, 718 HALL HAY ST, CRIVITZ, WI 54114, (715) 854-2721, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
550297000330, CRIVITZ HIGH, 400 SOUTH AVE, CRIVITZ, WI 54114, (715) 854-2721, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550297000331, CRIVITZ MIDDLE, 718 HALL HAY ST, CRIVITZ, WI 54114, (715) 854-2721, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public,7,8,,,,,,,,,,,,,,,,,,,
550321000361, DE PERE HIGH, 1700 CHICAGO ST, DE PERE, WI 54115, (920) 337-1020, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550321000362, DE PERE MIDDLE, 700 SWAN RD, DE PERE, WI 54115, (920) 337-1024, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public,7,8,,,,,,,,,,,,,,,,,,,
550321000363, DICKINSON ELEMENTARY, 435 S WASHINGTON ST, DE PERE, WI 54115, (920) 337-1027, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
550321002488, FOXVIEW INTERMEDIATE SCHOOL, 650 S MICHIGAN ST, DE PERE, WI 54115, (920) 337-1036, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public,5,6,,,,,,,,,,,,,,,,,,,
551632002726, HEMLOCK CREEK ELEMENTARY, 1900 WILLIAMS GRANT DR, DE PERE, WI 54115, (920) 425-1900, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
550321001254, HERITAGE ELEMENTARY, 1250 SWAN RD, DE PERE, WI 54115, (920) 337-1035, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
550001801612, HOPP ELEMENTARY/SECONDARY, 755 SCHEURING RD, DE PERE, WI 54115, (920) 336-5754, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public, N ,N ,,,,,,,,,,,,,,,,,,,
551632002752, PHANTOM KNIGHT SCHOOL OF OPPORTUNITY, 930 OAK ST, DE PERE, WI 54115, (920) 425-1915, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public,7,12,,,,,,,,,,,,,,,,,,,
550321002668, SUSIE C ALTMAYER ELEMENTARY, 3001 RYAN RD, DE PERE, WI 54115, (920) 338-1894, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
551632002138, WEST DE PERE HIGH, 665 GRANT ST, DE PERE, WI 54115, (920) 338-5200, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
551632000545, WEST DE PERE MIDDLE, 1177 S 9TH ST, DE PERE, WI 54115, (920) 337-1099, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
551632002139, WESTWOOD ELEMENTARY, 1155 WESTWOOD DR, DE PERE, WI 54115, (920) 337-1087, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
A0110245, CREEKSIDE CHRISTIAN MONTESSORI, 133 S SUPERIOR ST, DE PERE, WI 54115, (920) 330-0148, ŒæŒæ-ŒæŒæBROWN COUNTY, Private, PK,KG,,,,,,,,,,,,,,,,,,,
A9106917, GREEN BAY MONTESSORI CHILDREN'S WORLD, 670 MAIN AVE, DE PERE, WI 54115, (920) 983-3164, ŒæŒæ-ŒæŒæBROWN COUNTY, Private, PK,7,,,,,,,,,,,,,,,,,,,
1514627, IMMANUEL EVANGELICAL LUTHERAN SCHOOL OF SHIRLEY, 3737 SHIRLEY RD, DE PERE, WI 54115, (920) 864-7787, ŒæŒæ-ŒæŒæBROWN COUNTY, Private, KG,7,,,,,,,,,,,,,,,,,,,
A0304117, NOTRE DAME SCHOOL OF DE PERE, 221 S WISCONSIN ST, DE PERE, WI 54115, (920) 337-1115, ŒæŒæ-ŒæŒæBROWN COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
1508704, OUR LADY OF LOURDES SCHOOL, 1305 LOURDES AVE, DE PERE, WI 54115, (920) 336-3091, ŒæŒæ-ŒæŒæBROWN COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
A0903883, WISCONSIN INTERNATIONAL SCHOOL, 405 GRANT ST, DE PERE, WI 54115, (920) 632-7368, ŒæŒæ-ŒæŒæBROWN COUNTY, Private, PK,7,,,,,,,,,,,,,,,,,,,
550465000489, FLORENCE ELEMENTARY, PO BOX 350, FLORENCE, WI 54121, (715) 528-3262, ŒæŒæ-ŒæŒæFLORENCE COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
550465000490, FLORENCE HIGH, PO BOX 440, FLORENCE, WI 54121, (715) 528-3215, ŒæŒæ-ŒæŒæFLORENCE COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550465002360, FLORENCE MIDDLE, PO BOX 440, FLORENCE, WI 54121, (715) 528-3215, ŒæŒæ-ŒæŒæFLORENCE COUNTY COUNTY, Public,7,8,,,,,,,,,,,,,,,,,,,
550525000566, GILLETT ELEMENTARY, PO BOX 230, GILLETT, WI 54124, (920) 855-2119, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
550525000564, GILLETT HIGH, PO BOX 227, GILLETT, WI 54124, (920) 855-2137, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550525000565, GILLETT MIDDLE SCHOOL, PO BOX 227, GILLETT, WI 54124, (920) 855-2137, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
550558000592, GOODMAN HIGH, PO BOX 160, GOODMAN, WI 54125, (715) 336-2575, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public,7,12,,,,,,,,,,,,,,,,,,,
550558000593, GOODMAN-ARMSTRONG ELEMENTARY, PO BOX 160, GOODMAN, WI 54125, (715) 336-2575, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
2067926, MORRISON ZION LUTHERAN SCHOOL, 7373 COUNTY ROAD W, GREENLEAF, WI 54126, (920) 864-2349, ŒæŒæ-ŒæŒæBROWN COUNTY, Private, KG,8,,,,,,,,,,,,,,,,,,,
1511524, ZION LUTHERAN SCHOOL OF WAYSIDE, 8374 COUNTY ROAD W, GREENLEAF, WI 54126, (920) 864-2468, ŒæŒæ-ŒæŒæBROWN COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
550005602748, GRESHAM ELEMENTARY, 501 SCHABOW ST, GRESHAM, WI 54128, (715) 787-3211, ŒæŒæ-ŒæŒæSHAWANO COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
550005602740, GRESHAM HIGH, 501 SCHABOW ST, GRESHAM, WI 54128, (715) 787-3211, ŒæŒæ-ŒæŒæSHAWANO COUNTY COUNTY, Public,6,12,,,,,,,,,,,,,,,,,,,
550645000700, HILBERT ELEMENTARY, 132 S 8TH ST, HILBERT, WI 54129, (920) 853-3531, ŒæŒæ-ŒæŒæCALUMET COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
550645000701, HILBERT HIGH, PO BOX 390, HILBERT, WI 54129, (920) 853-3558, ŒæŒæ-ŒæŒæCALUMET COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550645001458, HILBERT MIDDLE, PO BOX 390, HILBERT, WI 54129, (920) 853-3558, ŒæŒæ-ŒæŒæCALUMET COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
1508147, ST MARY CATHOLIC SCHOOL, PO BOX 249, HILBERT, WI 54129, (920) 853-3216, ŒæŒæ-ŒæŒæCALUMET COUNTY, Private, PK,6,,,,,,,,,,,,,,,,,,,
1511535, ST PETER LUTHERAN SCHOOL, PO BOX 190, HILBERT, WI 54129, (920) 853-3851, ŒæŒæ-ŒæŒæCALUMET COUNTY, Private, PK,5,,,,,,,,,,,,,,,,,,,
1511546, TRINITY LUTHERAN SCHOOL, N6081 W RIVER RD, HILBERT, WI 54129, (920) 853-3134, ŒæŒæ-ŒæŒæCALUMET COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
550729002433, DR H B TANNER ELEMENTARY, 2500 FIELDCREST DR, KAUKAUNA, WI 54130, (920) 766-6150, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public, PK,KG,,,,,,,,,,,,,,,,,,,
550492000533, FREEDOM HIGH, N4021 COUNTY RD E, FREEDOM, WI 54130, (920) 788-7940, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550492000534, FREEDOM MIDDLE, N4021 COUNTY RD E, FREEDOM, WI 54130, (920) 788-7945, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
550729000797, HAEN ELEMENTARY, 1130 HAEN DR, KAUKAUNA, WI 54130, (920) 766-6134, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,1,4,,,,,,,,,,,,,,,,,,,
550729000793, KAUKAUNA HIGH, 1701 COUNTY ROAD CE, KAUKAUNA, WI 54130, (920) 766-6113, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550729000795, PARK ELEMENTARY, 509 LAWE ST, KAUKAUNA, WI 54130, (920) 766-6129, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,1,4,,,,,,,,,,,,,,,,,,,
550729000796, QUINNEY ELEMENTARY, 2601 SULLIVAN AVE, KAUKAUNA, WI 54130, (920) 766-6116, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,1,4,,,,,,,,,,,,,,,,,,,
550729002776, RIVER VIEW INTERMEDIATE, 101 OAK ST, KAUKAUNA, WI 54130, (920) 766-6124, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,5,6,,,,,,,,,,,,,,,,,,,
550729001700, RIVER VIEW MIDDLE, 101 OAK ST, KAUKAUNA, WI 54130, (920) 766-6111, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,7,8,,,,,,,,,,,,,,,,,,,
1508362, HOLY CROSS CAMPUS - KCSS, 220 DOTY ST, KAUKAUNA, WI 54130, (920) 766-0186, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY, Private,3,8,,,,,,,,,,,,,,,,,,,
1508238, ST ALOYSIUS ELEMENTARY SCHOOL, 2401 MAIN AVE, KAUKAUNA, WI 54130, (920) 766-5199, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY, Private, PK,2,,,,,,,,,,,,,,,,,,,
1508395, ST NICHOLAS SCHOOL, W2035 COUNTY ROAD S, FREEDOM, WI 54130, (920) 788-9371, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
1514897, TRINITY LUTHERAN SCHOOL, 800 AUGUSTINE ST, KAUKAUNA, WI 54130, (920) 766-2029, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
550907001069, KESHENA PRIMARY, PO BOX 1410, KESHENA, WI 54135, (715) 799-3828, ŒæŒæ-ŒæŒæMENOMINEE COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
550907001070, MENOMINEE INDIAN HIGH, PO BOX 850, KESHENA, WI 54135, (715) 799-3846, ŒæŒæ-ŒæŒæMENOMINEE COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550747002594, CARING OPPORTUNITIES FOR RECOVERY  EDUCATION, W2662 KENNEDY AVE, KIMBERLY, WI 54136, (920) 687-3024, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550747000849, GERRITTS MIDDLE, 545 S JOHN ST, KIMBERLY, WI 54136, (920) 788-7905, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,7,8,,,,,,,,,,,,,,,,,,,
550747000850, KIMBERLY HIGH, W2662 KENNEDY AVE, KIMBERLY, WI 54136, (920) 687-3024, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550747002642, MAPLEVIEW INTERMEDIATE SCHOOL, 125 E KIMBERLY AVE, KIMBERLY, WI 54136, (920) 788-7910, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,5,6,,,,,,,,,,,,,,,,,,,
550747000851, WESTSIDE ELEMENTARY, 746 W 3RD ST, KIMBERLY, WI 54136, (920) 739-3578, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
A9106883, APPLETON CHRISTIAN SCHOOLS, 614 E KIMBERLY AVE, KIMBERLY, WI 54136, (920) 687-2700, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
551233001596, FAIRVIEW ELEMENTARY, 2840 HIGHWAY 32, KRAKOW, WI 54137, (920) 899-6300, ŒæŒæ-ŒæŒæSHAWANO COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
550786002769, LENA EDUCATION ALTERNATIVE NETWORK CHARTER, 304 E MAIN ST, LENA, WI 54139, (920) 829-5703, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public, KG,12,,,,,,,,,,,,,,,,,,,
550786000895, LENA ELEMENTARY, 304 E MAIN ST, LENA, WI 54139, (920) 829-5959, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
550786000896, LENA HIGH, 304 E MAIN ST, LENA, WI 54139, (920) 829-5244, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550786000897, LENA MIDDLE, 304 E MAIN ST, LENA, WI 54139, (920) 829-5244, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
551095001436, SPRUCE ELEMENTARY, 7904 COUNTY A WEST, LENA, WI 54139, (920) 848-4463, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public,1,5,,,,,,,,,,,,,,,,,,,
AA000912, MARANATHA SEVENTH-DAY ADVENTIST CHRISTIAN SCHOOL, 5100 MCCARTHY RD, LENA, WI 54139, (920) 834-5247, ŒæŒæ-ŒæŒæOCONTO COUNTY, Private,1,8,,,,,,,,,,,,,,,,,,,
550816000900, LITTLE CHUTE ELEMENTARY, 901 GRAND AVE, LITTLE CHUTE, WI 54140, (920) 788-7610, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
550816000901, LITTLE CHUTE HIGH, 1402 FREEDOM RD, LITTLE CHUTE, WI 54140, (920) 788-7600, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550816000902, LITTLE CHUTE MIDDLE, 325 MEULEMANS ST # B, LITTLE CHUTE, WI 54140, (920) 788-7607, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
1508475, ST JOHN NEPOMUCENE SCHOOL, 328 GRAND AVE, LITTLE CHUTE, WI 54140, (920) 788-9082, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
550870002335, GARFIELD ELEMENTARY, 1615 CARNEY BLVD, MARINETTE, WI 54143, (715) 735-2400, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
550870002838, MARINETTE 4K, 1615 CARNEY BLVD, MARINETTE, WI 54143, (715) 735-1403, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public, PK,PK,,,,,,,,,,,,,,,,,,,
550870000995, MARINETTE HIGH, 2135 PIERCE AVE, MARINETTE, WI 54143, (715) 735-1300, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
550870000996, MARINETTE MIDDLE, 1011 WATER ST, MARINETTE, WI 54143, (715) 735-1500, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public,5,8,,,,,,,,,,,,,,,,,,,
550870000998, MERRYMAN ELEMENTARY, 611 ELIZABETH AVE, MARINETTE, WI 54143, (715) 735-2500, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
550870000999, PARK ELEMENTARY, 1225 HOCKRIDGE ST, MARINETTE, WI 54143, (715) 735-2600, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
1509184, ST THOMAS AQUINAS ACADEMY, 1200 MAIN ST, MARINETTE, WI 54143, (715) 735-7481, ŒæŒæ-ŒæŒæMARINETTE COUNTY, Private, PK,12,,,,,,,,,,,,,,,,,,,
1514922, TRINITY EVANGELICAL LUTHERAN SCHOOL, 1216 COLFAX ST, MARINETTE, WI 54143, (715) 732-2956, ŒæŒæ-ŒæŒæMARINETTE COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
550907001071, MENOMINEE INDIAN MIDDLE, PO BOX 9, NEOPIT, WI 54150, (715) 756-2324, ŒæŒæ-ŒæŒæMENOMINEE COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
590014400088, MENOMINEE TRIBAL SCHOOL, PO BOX 39, NEOPIT, WI 54150, (715) 756-2354, ŒæŒæ-ŒæŒæMENOMINEE COUNTY COUNTY, Public, KG,8,,,,,,,,,,,,,,,,,,,
551068001393, NIAGARA ELEMENTARY, 700 JEFFERSON AVE, NIAGARA, WI 54151, (715) 251-3518, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
551068001394, NIAGARA HIGH, 700 JEFFERSON AVE, NIAGARA, WI 54151, (715) 251-4541, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public,7,12,,,,,,,,,,,,,,,,,,,
551092001429, OCONTO ELEMENTARY, 810 SCHERER AVE, OCONTO, WI 54153, (920) 834-7808, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
551092001428, OCONTO HIGH, 1717 SUPERIOR AVE, OCONTO, WI 54153, (920) 834-7812, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
551092002710, OCONTO LITERACY CHARTER SCHOOL, 810 SCHERER AVE, OCONTO, WI 54153, (920) 834-7808, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public, PK,2,,,,,,,,,,,,,,,,,,,
551092001430, OCONTO MIDDLE, 400 MICHIGAN AVE, OCONTO, WI 54153, (920) 834-7806, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public,5,8,,,,,,,,,,,,,,,,,,,
551095001853, FALLS ALTERNATIVE LEARNING SITE (FALS), 320 CE, NTRAL AVE, OCONTO FALLS, WI 54154, (920) 848-4455ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
551095002736, NEW PATH, 200 N FARM RD, OCONTO FALLS, WI 54154, (920) 848-4455, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public,6,12,,,,,,,,,,,,,,,,,,,
551095001066, OCONTO FALLS ELEMENTARY, 415 E MARIA VOLK DR, OCONTO FALLS, WI 54154, (920) 848-4476, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
551095001435, OCONTO FALLS HIGH, PO BOX 988, OCONTO FALLS, WI 54154, (920) 848-4467, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
551095001438, WASHINGTON MIDDLE, 102 S WASHINGTON ST, OCONTO FALLS, WI 54154, (920) 848-4463, ŒæŒæ-ŒæŒæOCONTO COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
1509195, ST ANTHONY SCHOOL, 253 N FRANKLIN ST, OCONTO FALLS, WI 54154, (920) 846-2276, ŒæŒæ-ŒæŒæOCONTO COUNTY, Private, PK,5,,,,,,,,,,,,,,,,,,,
551233001598, HILLCREST ELEMENTARY, 4193 HILLCREST RD, ONEIDA, WI 54155, (920) 272-6900, ŒæŒæ-ŒæŒæBROWN COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
590011400090, ONEIDA NATION SCHOOL, PO BOX 365, ONEIDA, WI 54155, (920) 869-1676, ŒæŒæ-ŒæŒæOUTAGAMIE COUNTY COUNTY, Public, KG,12,,,,,,,,,,,,,,,,,,,
551155001529, PEMBINE ELEMENTARY, PO BOX 247, PEMBINE, WI 54156, (715) 324-5314, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
551155001530, PEMBINE HIGH, PO BOX 247, PEMBINE, WI 54156, (715) 324-5314, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public,7,12,,,,,,,,,,,,,,,,,,,
A0903864, PIONEER CHRISTIAN SCHOOL, N17112 US HIGHWAY 141, PEMBINE, WI 54156, (715) 324-5900, ŒæŒæ-ŒæŒæMARINETTE COUNTY, Private, KG,11,,,,,,,,,,,,,,,,,,,
551161001533, PESHTIGO ELEMENTARY, 341 N EMERY AVE, PESHTIGO, WI 54157, (715) 582-3762, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
551161001534, PESHTIGO MIDDLE/HIGH, 380 GREEN ST, PESHTIGO, WI 54157, (715) 582-3711, ŒæŒæ-ŒæŒæMARINETTE COUNTY COUNTY, Public,7,12,,,,,,,,,,,,,,,,,,,
1515325, ST JOHN EVANGELICAL LUTHERAN SCHOOL, N1926 CHURCH RD, PESHTIGO, WI 54157, (715) 582-4565, ŒæŒæ-ŒæŒæMARINETTE COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
