420606005217, CLARION AREA EL SCH, 800 BOUNDARY ST, CLARION, PA 16214, (814) 226-8118, ξξ-ξξCLARION COUNTY COUNTY, Public, PK,6,,,
421950006882, SWIFTWATER INTERM SCH, PO BOX 200, SWIFTWATER, PA 18370, (570) 839-7121, ξξ-ξξMONROE COUNTY COUNTY, Public,6,7,,,
421950006432, POCONO EL CTR, WARNER ROAD, TANNERSVILLE, PA 18372, (570) 839-7121, ξξ-ξξMONROE COUNTY COUNTY, Public, KG,5,,,
1908553, GROWING CONCERN SCHOOL, PO BOX 828, TANNERSVILLE, PA 18372, (570) 629-2754, ξξ-ξξMONROE COUNTY, Private, PK,5,,,
422465006775, VALLEY VIEW HS, 1 COLUMBUS DR, ARCHBALD, PA 18403, (570) 876-4110, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,9,12,,,
422465000298, VALLEY VIEW INTRMD SCH, 3 COLUMBUS DR, ARCHBALD, PA 18403, (570) 876-2263, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,3,5,,,
422465009969, VALLEY VIEW MS, 1 COLUMBUS DR, ARCHBALD, PA 18403, (570) 876-6461, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,6,8,,,
420498002420, CARBONDALE AREA JSHS, 101 BROOKLYN STREET, CARBONDALE, PA 18407, (570) 282-4500, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,7,12,,,
420498000225, CARBONDALE EL SCH, 103 BROOKLYN ST, CARBONDALE, PA 18407, (570) 282-5656, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,6,,,
420009600688, FELL CS, 777 MAIN STREET, SIMPSON, PA 18407, (570) 282-5199, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,9,,,
1195595, SACRED HEART ELEMENTARY SCHOOL, 27 FARVIEW ST 33, CARBONDALE, PA 18407, (570) 282-0340, ξξ-ξξLACKAWANNA COUNTY, Private, PK,8,,,
420201006398, SOUTH ABINGTON SCH, NORTHERN BOULEVARD BOX 163, CHINCHILLA, PA 18410, (570) 585-2100, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,4,,,
420201005091, ABINGTON HEIGHTS HS, NOBLE ROAD, CLARKS SUMMIT, PA 18411, (570) 585-5300, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,9,12,,,
420201006839, ABINGTON HEIGHTS MS, 1555 NEWTON RANSOM BLVD, CLARKS SUMMIT, PA 18411, (570) 586-1281, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,5,8,,,
420201000371, CLARKS SUMMIT EL SCH, 401 W GROVE ST, CLARKS SUMMIT, PA 18411, (570) 585-7300, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,4,,,
420201002407, NEWTON-RANSOM SCH, RD 3, CLARKS SUMMIT, PA 18411, (570) 585-8300, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,4,,,
A9105980, ABINGTON CHRISTIAN ACADEMY, 204 S ABINGTON RD, CLARKS GREEN, PA 18411, (570) 586-5270, ξξ-ξξLACKAWANNA COUNTY, Private, PK,8,,,
1195427, OUR LADY OF PEACE SCHOOL, 410 N ABINGTON RD, CLARKS GREEN, PA 18411, (570) 587-4152, ξξ-ξξLACKAWANNA COUNTY, Private, KG,8,,,
K9305034, ST GREGORY'S EARLY CHILDHOOD CENTER, 330 N ABINGTON RD, CLARKS GREEN, PA 18411, (570) 587-4808, ξξ-ξξLACKAWANNA COUNTY, Private, PK,KG,,,
1199104, SUMMIT CHRISTIAN ACADEMY, 232 NOBLE RD, SOUTH ABINGTON TOWNSHI, PA 18411, (570) 586-3500, ξξ-ξξLACKAWANNA COUNTY, Private, PK,12,,,
422385006992, MILL CITY EL SCH, RR 2, DALTON, PA 18414, (570) 378-2525, ξξ-ξξWYOMING COUNTY COUNTY, Public, KG,4,,,
422497006424, DAMASCUS AREA SCH, 174 HIGH SCHOOL RD, DAMASCUS, PA 18415, (570) 224-4114, ξξ-ξξWAYNE COUNTY COUNTY, Public, PK,8,,,
421299004524, LACKAWANNA TRAIL EL CTR, PO BOX 85, FACTORYVILLE, PA 18419, (570) 945-5153, ξξ-ξξWYOMING COUNTY COUNTY, Public, KG,6,,,
421299004528, LACKAWANNA TRAIL JSHS, TUNNEL HILL RD., R.D.1, FACTORYVILLE, PA 18419, (570) 945-5181, ξξ-ξξWYOMING COUNTY COUNTY, Public,7,12,,
A0302740, NEW HOPE ACADEMY, PO BOX 295, FACTORYVILLE, PA 18419, (570) 945-0161, ξξ-ξξWYOMING COUNTY, Private,8,12,,,
420993006420, FOREST CITY REGIONAL EL SCH, 100 SUSQUEHANNA STREET, FOREST CITY, PA 18421, (570) 785-2410, ξξ-ξξSUSQUEHANNA COUNTY COUNTY, Public, PK,6,,,
420993006419, FOREST CITY REGIONAL HS, 100 SUSQUEHANNA ST, FOREST CITY, PA 18421, (570) 785-2420, ξξ-ξξSUSQUEHANNA COUNTY COUNTY, Public,7,12,,,
422607006426, HAMLIN EL CTR, PO BOX 55, HAMLIN, PA 18427, (570) 689-2632, ξξ-ξξWAYNE COUNTY COUNTY, Public, KG,2,,,
422475004310, WALLENPAUPACK AREA HS, 2552 ROUTE 6, HAWLEY, PA 18428, (570) 226-4557, ξξ-ξξPIKE COUNTY COUNTY, Public,9,12,,,
422475006956, WALLENPAUPACK AREA MS, 139 ATLANTIC AVE, HAWLEY, PA 18428, (570) 226-4557, ξξ-ξξPIKE COUNTY COUNTY, Public,6,8,,,
422475007248, WALLENPAUPACK NORTH INTRMD SCH, 187 ATLANTIC AVE, HAWLEY, PA 18428, (570) 226-4557, ξξ-ξξPIKE COUNTY COUNTY, Public,3,5,,,
422475000129, WALLENPAUPACK PRI SCH, 158 ATLANTIC AVE, HAWLEY, PA 18428, (570) 226-4557, ξξ-ξξPIKE COUNTY COUNTY, Public, KG,2,,,
422497004295, HONESDALE HS, 459 TERRACE ST, HONESDALE, PA 18431, (570) 253-2046, ξξ-ξξWAYNE COUNTY COUNTY, Public,9,12,,,
422497000226, LAKESIDE ELEMENTARY SCHOOL, 129 LAKESIDE DR, HONESDALE, PA 18431, (570) 253-6820, ξξ-ξξWAYNE COUNTY COUNTY, Public,3,5,,,
422497004291, STOURBRIDGE PRIMARY CTR, 123 ABC DRIVE, HONESDALE, PA 18431, (570) 253-3010, ξξ-ξξWAYNE COUNTY COUNTY, Public, PK,2,,,
422497006865, WAYNE HIGHLANDS MS, 482 GROVE ST, HONESDALE, PA 18431, (570) 253-5900, ξξ-ξξWAYNE COUNTY COUNTY, Public,6,8,,,
421305006403, LAKELAND EL SCH, 1569 LAKELAND DR, JERMYN, PA 18433, (570) 254-9484, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,6,,,
421305006404, LAKELAND JSHS, 1593 LAKELAND DR, JERMYN, PA 18433, (570) 254-9485, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,7,12,,,
421305007171, MAYFIELD EL SCH, 501 LINDEN ST, MAYFIELD, PA 18433, (570) 876-2950, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,6,,,
A0740126, ST ROSE ACADEMY, 1300 OLD PLANK RD, MAYFIELD, PA 18433, (570) 282-8740, ξξ-ξξLACKAWANNA COUNTY, Private,7,12,,,
A9105749, LASALLE ACADEMY, 309 1ST AVE, JESSUP, PA 18434, (570) 489-2010, ξξ-ξξLACKAWANNA COUNTY, Private, PK,8,,,
421731002444, JEFFERSON EL SCH, 825 LIONS RD, LAKE ARIEL, PA 18436, (570) 689-2656, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,3,,,
422607006703, LAKE ARIEL EL SCH, 111 GRAVITY RD, LAKE ARIEL, PA 18436, (570) 698-5119, ξξ-ξξWAYNE COUNTY COUNTY, Public,3,5,,,
422607006704, WESTERN WAYNE HS, 1970A EASTON TURNPIKE, LAKE ARIEL, PA 18436, (570) 937-4113, ξξ-ξξWAYNE COUNTY COUNTY, Public,9,12,,,
422607009998, WESTERN WAYNE MS, 1970B EASTON TURNPIKE, LAKE ARIEL, PA 18436, (570) 937-3010, ξξ-ξξWAYNE COUNTY COUNTY, Public,6,8,,,
1909863, CANAAN CHRISTIAN ACADEMY, 30 HEMLOCK RD, LAKE ARIEL, PA 18436, (570) 937-4848, ξξ-ξξWAYNE COUNTY, Private, PK,12,,,
422497006425, PRESTON SCH, 1493 CROSSTOWN HIGHWAY, LAKEWOOD, PA 18439, (570) 798-2516, ξξ-ξξWAYNE COUNTY COUNTY, Public, KG,8,,,
421731000128, MOSCOW EL SCH, 851 CHURCH ST, MOSCOW, PA 18444, (570) 842-8464, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,3,,,
421731002446, NORTH POCONO HS, 97 BOCHICCHIO BLVD, COVINGTON TWP, PA 18444, (570) 842-7606, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,9,12,,,
421731007314, NORTH POCONO INTMD SCH, 701 CHURCH ST, MOSCOW, PA 18444, (570) 842-7676, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,4,5,,,
421731005233, NORTH POCONO MS, 701 CHURCH ST, MOSCOW, PA 18444, (570) 842-4588, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,6,8,,,
A9503658, ST GREGORYS ACADEMY, RR 8 BOX 8214, MOSCOW, PA 18444, (570) 842-8112, ξξ-ξξLACKAWANNA COUNTY, Private,9,12,,,
422475004305, WALLENPAUPACK SOUTH EL SCH, 989 MAIN ST, NEWFOUNDLAND, PA 18445, (570) 676-3335, ξξ-ξξWAYNE COUNTY COUNTY, Public, KG,6,,,
A9903656, THE GENEVA SCHOOL, 133 RIVER ST, OLYPHANT, PA 18447, (570) 489-7620, ξξ-ξξLACKAWANNA COUNTY, Private, PK,8,,,
422465006776, VALLEY VIEW EL CTR, 901 MAIN STREET, PECKVILLE, PA 18452, (570) 489-7579, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,2,,,
420753003866, SHOHOLA EL SCH, 940 TWIN LAKES ROAD, SHOHOLA, PA 18458, (570) 296-3600, ξξ-ξξPIKE COUNTY COUNTY, Public, PK,6,,,
421950000299, CLEAR RUN EL CTR, 3700 MEMORIAL BLVD, TOBYHANNA, PA 18466, (570) 839-7121, ξξ-ξξMONROE COUNTY COUNTY, Public, KG,5,,,
421950000300, CLEAR RUN INTRMD SCH, 3600 MEMORIAL BLVD, TOBYHANNA, PA 18466, (570) 839-7121, ξξ-ξξMONROE COUNTY COUNTY, Public,6,7,,,
421950003213, COOLBAUGH EL CTR, 5800 MEMORIAL BLVD, TOBYHANNA, PA 18466, (570) 839-7121, ξξ-ξξMONROE COUNTY COUNTY, Public,2,5,,,
421950000506, COOLBAUGH LC, 194 MAIN STREET, TOBYHANNA, PA 18466, (570) 839-7121, ξξ-ξξMONROE COUNTY COUNTY, Public, KG,1,,,
420012000743, POCONO MOUNTAIN CHARTER SCHOOL, 16 CARRIAGE SQUARE, TOBYHANNA, PA 18466, (570) 894-5108, ξξ-ξξMONROE COUNTY COUNTY, Public, KG,12,,,
420201002402, WAVERLY SCH, 103 WAVERLY RD, WAVERLY, PA 18471, (570) 585-6300, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,4,,,
422607004311, WILSON EL SCH, 74 BELMONT ST, WAYMART, PA 18472, (570) 488-6454, ξξ-ξξWAYNE COUNTY COUNTY, Public, PK,5,,,
A9105599, DEPAUL SCHOOL, PO BOX 1103, SCRANTON, PA 18501, (570) 341-4398, ξξ-ξξLACKAWANNA COUNTY, Private,2,8,,,
1197209, MILTON EISNER YESHIVA HIGH SCHOOL, PO BOX 1141, SCRANTON, PA 18501, (570) 346-1747, ξξ-ξξLACKAWANNA COUNTY, Private,9,12,,,
422109005149, CHARLES SUMNER #18, NORTH SUMNER AVENUE & SWETLAND, SCRANTON, PA 18504, (570) 348-3688, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, PK,5,,,
422109002474, FRANCES WILLARD #32, 1100 EYNON ST, SCRANTON, PA 18504, (570) 348-3692, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, PK,5,,,
422109002481, JOHN MARSHALL #41, NORTH LINCOLN AVENUE & ORAM ST, SCRANTON, PA 18504, (570) 348-3677, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, PK,5,,,
422109002489, WEST SCRANTON HS, 1201 LUZERNE ST, SCRANTON, PA 18504, (570) 348-3616, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,9,12,,,
422109006791, WEST SCRANTON INTRMD SCH, FELLOWS STREET & PARROT AVENUE, SCRANTON, PA 18504, (570) 348-3475, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,6,8,,,
A0740127, ALL SAINTS ACADEMY, 1425 JACKSON ST, SCRANTON, PA 18504, (570) 343-8114, ξξ-ξξLACKAWANNA COUNTY, Private, PK,8,,,
422109004736, JOHN F. KENNEDY #7, PROSPECT AVENUE & SAGINAW ST, SCRANTON, PA 18505, (570) 348-3673, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, PK,5,,,
422109004858, JOHN G WHITTIER #2, 700 ORCHARD ST, SCRANTON, PA 18505, (570) 348-3690, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,5,,,
422109006971, LINCOLN-JACKSON #14, ACADEMY STREET & HYDE PARK AVE, SCRANTON, PA 18505, (570) 348-3675, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, PK,5,,,
422109006970, MCNICHOLS PLAZA, 1111 S IRVING AVE, SCRANTON, PA 18505, (570) 348-3685, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,5,,,
422109002487, SOUTH SCRANTON INTRMD SCH, 355 MAPLE ST, SCRANTON, PA 18505, (570) 348-3631, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,6,8,,,
1195198, MARIAN CATHOLIC SCHOOL, 638 HEMLOCK ST, SCRANTON, PA 18505, (570) 346-9922, ξξ-ξξLACKAWANNA COUNTY, Private, PK,8,,,
2053979, ST STANISLAUS ELEMENTARY SCHOOL, 529 E LOCUST ST, SCRANTON, PA 18505, (570) 342-2224, ξξ-ξξLACKAWANNA COUNTY, Private, KG,8,,,
422325005093, RIVERSIDE EL SCH EAST, KRIEG & SCHOOL STREETS, MOOSIC, PA 18507, (570) 562-2121, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,6,,,
428026009930, CTC OF LACKAWANNA COUNTY, 3201 ROCKWELL AVENUE, SCRANTON, PA 18508, (570) 346-8471, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,10,12,,,
422109002476, GEORGE BANCROFT #34, 1002 ALBRIGHT AVE, SCRANTON, PA 18508, (570) 348-3667, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, PK,5,,,
422109005232, NEIL ARMSTRONG #40, NORTH LINCOLN AVE & CLEARVIEW, SCRANTON, PA 18508, (570) 348-3661, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, PK,5,,,
422109006413, SCRANTON HS, 63 MUNCHAK WAY, SCRANTON, PA 18508, (570) 348-3481, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,9,12,,,
A0902950, HOWARD GARDNER SCHOOL OF DISCOVERY, 134 SCHOOL ST, SCRANTON, PA 18508, (570) 941-4100, ξξ-ξξLACKAWANNA COUNTY, Private, PK,8,,,
K9305042, LITTLE PEOPLE DAYCARE SCHOOL, 910 OAK ST, SCRANTON, PA 18508, (570) 961-0911, ξξ-ξξLACKAWANNA COUNTY, Private, PK,KG,,,
A0903013, LUTHERAN ACADEMY - SCRANTON, 238 REESE ST, SCRANTON, PA 18508, (570) 972-2272, ξξ-ξξLACKAWANNA COUNTY, Private,1,9,,,
A9503642, REVIVAL BAPTIST CHRISTIAN SCHOOL, 2020 N MAIN AVE, SCRANTON, PA 18508, (570) 963-9449, ξξ-ξξLACKAWANNA COUNTY, Private, KG,11,,,
422109002455, JOHN ADAMS #4, 927 CAPOUSE AVE, SCRANTON, PA 18509, (570) 348-3655, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, PK,5,,,
422109004952, ROBERT MORRIS #27, 1824 BOULEVARD AVE, SCRANTON, PA 18509, (570) 348-3681, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, PK,5,,,
A9503586, MARYWOOD / TONY DOMIANO EARLY CHILDHOOD CENTER, 2300 ADAMS AVE MARYWOOD UNIVERSITY, SCRANTON, PA 18509, (570) 340-6085, ξξ-ξξLACKAWANNA COUNTY, Private, PK,KG,,,
1907505, SCRANTON PREPARATORY SCHOOL, 1000 WYOMING AVE, SCRANTON, PA 18509, (570) 941-7737, ξξ-ξξLACKAWANNA COUNTY, Private,9,12,,,
1195256, ST PAUL SCHOOL, 1527 PENN AVE, SCRANTON, PA 18509, (570) 343-7880, ξξ-ξξLACKAWANNA COUNTY, Private, PK,8,,,
422109002482, JOHN J. AUDUBON #42, 1801 MULBERRY ST, SCRANTON, PA 18510, (570) 348-3665, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, PK,5,,,
422109000612, NORTHEAST INTRMD SCH, ADAMS AVE & GIBSON ST, SCRANTON, PA 18510, (570) 348-3651, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,6,8,,,
422109004857, WILLIAM PRESCOTT #38, PRESCOTT AVENUE & MYRTLE ST, SCRANTON, PA 18510, (570) 348-3683, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, PK,5,,,
A0108806, BAIS YAAKOV OF SCRANTON, 1025 VINE ST, SCRANTON, PA 18510, (570) 347-5003, ξξ-ξξLACKAWANNA COUNTY, Private,9,12,,,
K9305046, MONTESSORI KINDERGARTEN, 712 LINDEN ST, SCRANTON, PA 18510, (570) 963-5458, ξξ-ξξLACKAWANNA COUNTY, Private, PK,KG,,,
1197195, SCRANTON HEBREW DAY SCHOOL, 540 MONROE AVE, SCRANTON, PA 18510, (570) 346-1576, ξξ-ξξLACKAWANNA COUNTY, Private, KG,8,,,
420798006591, DUNMORE EL CTR, 300 W WARREN ST, DUNMORE, PA 18512, (570) 347-6794, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,7,,,
420798002429, DUNMORE HS, 300 W WARREN ST, DUNMORE, PA 18512, (570) 346-2043, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,9,12,,,
420798000636, DUNMORE MS, 300 WEST WARREN STREET, DUNMORE, PA 18512, (570) 346-2043, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,7,10,,,
421517002423, MID VALLEY EL CTR, 50 UNDERWOOD RD, THROOP, PA 18512, (570) 307-3241, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,6,,,
421517000980, MID VALLEY HS, 52 UNDERWOOD RD, THROOP, PA 18512, (570) 307-2180, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,9,12,,,
421517000978, MID VALLEY MS, 52 UNDERWOOD RD, THROOP, PA 18512, (570) 307-2123, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,6,8,,,
BB101386, HOLY CROSS HIGH SCHOOL, 501 E DRINKER ST, DUNMORE, PA 18512, (571) 346-7541, ξξ-ξξLACKAWANNA COUNTY, Private,9,12,,,
1194842, ST MARY OF MT CARMEL SCHOOL, 325 CHESTNUT ST, DUNMORE, PA 18512, (570) 346-4429, ξξ-ξξLACKAWANNA COUNTY, Private, PK,8,,,
422325006748, RIVERSIDE EL SCH WEST, 300 DAVIS ST, TAYLOR, PA 18517, (570) 562-2121, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,4,,,
422325002496, RIVERSIDE JSHS, 310 DAVIS ST, TAYLOR, PA 18517, (570) 562-2121, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,7,12,,,
421812002448, OLD FORGE EL SCH, 401 MELMORE ST, OLD FORGE, PA 18518, (570) 457-8391, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public, KG,6,,,
421812002449, OLD FORGE JSHS, 300 MARION ST, OLD FORGE, PA 18518, (570) 457-6721, ξξ-ξξLACKAWANNA COUNTY COUNTY, Public,7,12,,,
A9503681, TRIBORO CHRISTIAN ACADEMY, 100 S MAIN ST, OLD FORGE, PA 18518, (570) 457-5392, ξξ-ξξLACKAWANNA COUNTY, Private, KG,12,,,
420348001605, BERWICK AREA HS, 1100 FOWLER AVE, BERWICK, PA 18603, (570) 759-6400, ξξ-ξξCOLUMBIA COUNTY COUNTY, Public,9,12,,,
420348006808, BERWICK AREA MS, 1100 EVERGREEN DRIVE, BERWICK, PA 18603, (570) 759-6400, ξξ-ξξCOLUMBIA COUNTY COUNTY, Public,6,8,,,
420348001602, FOURTEENTH STREET EL SCH, 1401 N MARKET ST, BERWICK, PA 18603, (570) 759-6430, ξξ-ξξCOLUMBIA COUNTY COUNTY, Public, KG,5,,,
420348001604, ORANGE STREET EL SCH, 845 ORANGE ST, BERWICK, PA 18603, (570) 759-6422, ξξ-ξξCOLUMBIA COUNTY COUNTY, Public, KG,5,,,
420348001597, SALEM EL SCH, 810 EAST TENTH STREET, BERWICK, PA 18603, (570) 759-6400, ξξ-ξξLUZERNE COUNTY COUNTY, Public, KG,5,,,
1906793, HERITAGE CHRISTIAN ACADEMY, 1112 BUTTERNUT ST, BERWICK, PA 18603, (570) 759-2951, ξξ-ξξCOLUMBIA COUNTY, Private,9,10,,,
A9105722, HOLY FAMILY CONSOLIDATED SCHOOL, 728 WASHINGTON ST, BERWICK, PA 18603, (570) 752-2021, ξξ-ξξCOLUMBIA COUNTY, Private, KG,5,,,
A0903050, MILESTONES ACHIEVEMENT CENTER, 218 W 6TH ST, BERWICK, PA 18603, (570) 752-5002, ξξ-ξξCOLUMBIA COUNTY, Private,1,12,,,
420720002868, DALLAS EL SCH, HILDEBRANDT ROAD, DALLAS, PA 18612, (570) 674-7271, ξξ-ξξLUZERNE COUNTY COUNTY, Public, KG,5,,,
420720005150, DALLAS MS, CONYNGHAM AVENUE, DALLAS, PA 18612, (570) 674-7245, ξξ-ξξLUZERNE COUNTY COUNTY, Public,6,8,,,
420720002869, DALLAS SHS, CONYNGHAM AVENUE, DALLAS, PA 18612, (570) 674-7230, ξξ-ξξLUZERNE COUNTY COUNTY, Public,9,12,,,
420720000463, WYCALLIS EL SCH, CONYNGHAM AVENUE, DALLAS, PA 18612, (570) 674-7283, ξξ-ξξLUZERNE COUNTY COUNTY, Public, KG,5,,,
K9305049, DALLAS LITTLE PEOPLE DAYCARE SCHOOL, 96 HUNTSVILLE RD, DALLAS, PA 18612, (570) 675-1717, ξξ-ξξLUZERNE COUNTY, Private, PK,KG,,,
1195584, GATE OF HEAVEN SCHOOL, 40 MACHELL AVE, DALLAS, PA 18612, (570) 675-6566, ξξ-ξξLUZERNE COUNTY, Private, PK,8,,,
A9903690, IM BIG NOW LEARNING CENTER, RR 5 BOX 132 N MEMORIAL HY, DALLAS, PA 18612, (570) 675-1220, ξξ-ξξLUZERNE COUNTY, Private, PK,KG,,,
421302007207, LAKE-NOXEN EL SCH, RR 3 BOX 270, HARVEYS LAKE, PA 18618, (570) 639-1129, ξξ-ξξLUZERNE COUNTY COUNTY, Public, KG,6,,,
A9105860, MUHLENBURG CHRISTIAN ACADEMY, 362 HUNLOCK HARVEYVILLE RD, HUNLOCK CREEK, PA 18621, (570) 256-3378, ξξ-ξξLUZERNE COUNTY, Private, KG,12,,,
422670001004, LACEYVILLE EL SCH, RR 2 BOX 2255, LACEYVILLE, PA 18623, (570) 869-1229, ξξ-ξξWYOMING COUNTY COUNTY, Public, KG,6,,,
422292005159, SULLIVAN CO EL SCH, BEECH & SOUTH STREETS BOX 115, LAPORTE, PA 18626, (570) 946-7471, ξξ-ξξSULLIVAN COUNTY COUNTY, Public, KG,6,,,
422292004030, SULLIVAN CO JSHS, BEECH & SOUTH STREETS BOX 98, LAPORTE, PA 18626, (570) 946-7001, ξξ-ξξSULLIVAN COUNTY COUNTY, Public,7,12,,,
421302002924, LAKE-LEHMAN JSHS, OLD ROUTE 115, LEHMAN, PA 18627, (570) 675-7458, ξξ-ξξLUZERNE COUNTY COUNTY, Public,7,12,,,
421302002922, LEHMAN-JACKSON EL SCH, PO BOX 38, LEHMAN, PA 18627, (570) 675-2165, ξξ-ξξLUZERNE COUNTY COUNTY, Public, KG,6,,,
422385006993, MEHOOPANY EL SCH, 400 SCOTTSVILLE ROAD, MEHOOPANY, PA 18629, (570) 833-5181, ξξ-ξξWYOMING COUNTY COUNTY, Public, KG,4,,,
422292004028, TURNPIKE AREA EL SCH, SCHOOL STREET BOX 265, MILDRED, PA 18632, (570) 928-8341, ξξ-ξξSULLIVAN COUNTY COUNTY, Public, KG,6,,,
421629000733, GNA EL CTR, 601 KOSCIUSZKO STREET, NANTICOKE, PA 18634, (570) 735-1320, ξξ-ξξLUZERNE COUNTY COUNTY, Public,3,5,,,
421629000469, GREATER NANTICOKE AREA ED CTR, 600 EAST UNION STREET, NANTICOKE, PA 18634, (570) 735-2770, ξξ-ξξLUZERNE COUNTY COUNTY, Public,6,7,,,
421629005242, GREATER NANTICOKE AREA SHS, 425 KOSCIUSZKO ST, NANTICOKE, PA 18634, (570) 735-7781, ξξ-ξξLUZERNE COUNTY COUNTY, Public,8,12,,,
421629002933, J F KENNEDY EL SCH, 513 KOSCIUSZKO ST, NANTICOKE, PA 18634, (570) 735-6450, ξξ-ξξLUZERNE COUNTY COUNTY, Public,2,2,,,
